Gene ID,Chromosome,Gene Name,Description
NPIL_338551,BMAW01088243.1,Unknown,bumetanide-sensitive sodium-(potassium)-chloride cotransporter
NPIL_338561,BMAW01052857.1,CG32669,putative sodium-dependent multivitamin transporter
NPIL_338571,BMAW01084982.1,AVEN_184444_1,uncharacterized protein
NPIL_338581,BMAW01084982.1,Unknown,hypothetical protein
NPIL_338591,BMAW01084982.1,Unknown,hypothetical protein
NPIL_338601,BMAW01084982.1,Eloa,elongin-A
NPIL_33861,BMAW01071194.1,Unknown,hypothetical protein
NPIL_338611,BMAW01084982.1,X975_19297,uncharacterized protein
NPIL_338621,BMAW01036180.1,AVEN_258776_1,uncharacterized protein
NPIL_338631,BMAW01103443.1,NCL1_16012,SOCS box domain-containing protein
NPIL_338641,BMAW01105075.1,Ap4m1,AP-4 complex subunit mu-1
NPIL_338651,BMAW01105075.1,Rgs7,regulator of G-protein signaling 7
NPIL_338661,BMAW01105075.1,RGS7,regulator of G-protein signaling 7
NPIL_338671,BMAW01105075.1,Unknown,hypothetical protein
NPIL_338681,BMAW01025702.1,Unknown,hypothetical protein
NPIL_338691,BMAW01001278.1,AVEN_230738_1,integrase_H2C2 domain-containing protein
NPIL_338701,BMAW01084432.1,Unknown,hypothetical protein
NPIL_33871,BMAW01122099.1,Unknown,hypothetical protein
NPIL_338711,BMAW01111546.1,NCL1_38233,metalloendopeptidase
NPIL_338721,BMAW01038995.1,AACS,acetoacetyl-CoA synthetase
NPIL_338731,BMAW01038995.1,AACS,acetoacetyl-CoA synthetase
NPIL_338741,BMAW01051037.1,AOAH,acyloxyacyl hydrolase
NPIL_338751,BMAW01051037.1,Unknown,hypothetical protein
NPIL_338761,BMAW01051037.1,senju,UDP-galactose transporter senju
NPIL_338771,BMAW01051037.1,Unknown,hypothetical protein
NPIL_338781,BMAW01051037.1,Unknown,hypothetical protein
NPIL_338791,BMAW01051037.1,Unknown,hypothetical protein
NPIL_338801,BMAW01051037.1,Unknown,hypothetical protein
NPIL_33881,BMAW01008673.1,Unknown,hypothetical protein
NPIL_338811,BMAW01051037.1,Unknown,hypothetical protein
NPIL_338821,BMAW01051037.1,AVEN_244307_1,uncharacterized protein
NPIL_338831,BMAW01051037.1,egl-3,neuroendocrine convertase 2
NPIL_338841,BMAW01051037.1,Unknown,hypothetical protein
NPIL_338851,BMAW01051037.1,SUFU,suppressor of fused homolog
NPIL_338861,BMAW01051037.1,PCSK2,neuroendocrine convertase 2
NPIL_338871,BMAW01051037.1,AVEN_215432_1,uncharacterized protein
NPIL_338881,BMAW01051037.1,Gch1,GTP cyclohydrolase 1
NPIL_338891,BMAW01051037.1,SRSF3,hypothetical protein
NPIL_338901,BMAW01051037.1,PGBD4,piggyBac transposable element-derived protein 4
NPIL_33891,BMAW01008673.1,FAXDC2,fatty acid hydroxylase domain-containing protein 2
NPIL_338911,BMAW01051037.1,Unknown,hypothetical protein
NPIL_33892,BMAW01008673.1,FAXDC2_19,fatty acid hydroxylase domain-containing protein 2
NPIL_338921,BMAW01051037.1,SRSF3,hypothetical protein
NPIL_338931,BMAW01051037.1,NCL1_36687,uncharacterized protein
NPIL_338941,BMAW01051037.1,PRKC2,calcium-independent protein kinase C
NPIL_338951,BMAW01051037.1,SEC11C,signal peptidase complex catalytic subunit SEC11C
NPIL_338961,BMAW01051037.1,Unknown,hypothetical protein
NPIL_338971,BMAW01051037.1,Unknown,hypothetical protein
NPIL_338981,BMAW01051037.1,Unknown,hypothetical protein
NPIL_338991,BMAW01051037.1,Slc12a2,solute carrier family 12 member 2
NPIL_339001,BMAW01051037.1,PC,"pyruvate carboxylase, mitochondrial"
NPIL_33901,BMAW01008673.1,Unknown,hypothetical protein
NPIL_339011,BMAW01051037.1,Unknown,hypothetical protein
NPIL_339021,BMAW01051037.1,FOXN3,forkhead box protein N3
NPIL_339031,BMAW01051037.1,X975_19856,g-protein coupled receptor Mth2
NPIL_339041,BMAW01051037.1,Unknown,hypothetical protein
NPIL_339051,BMAW01051037.1,SEC11A,signal peptidase complex catalytic subunit SEC11A
NPIL_339061,BMAW01071632.1,Unknown,hypothetical protein
NPIL_339071,BMAW01071632.1,spoplb,speckle-type POZ protein-like B
NPIL_339081,BMAW01123158.1,Hspa12a,heat shock 70 kDa protein 12A
NPIL_339091,BMAW01062690.1,Unknown,hypothetical protein
NPIL_3391,BMAW01054357.1,Unknown,hypothetical protein
NPIL_339101,BMAW01087211.1,AVEN_222096_1,uncharacterized protein
NPIL_33911,BMAW01008673.1,Unknown,hypothetical protein
NPIL_339111,BMAW01087211.1,AVEN_222096_1,uncharacterized protein
NPIL_339121,BMAW01074893.1,Unknown,hypothetical protein
NPIL_339131,BMAW01127780.1,Unknown,hypothetical protein
NPIL_339141,BMAW01061059.1,Unknown,hypothetical protein
NPIL_339151,BMAW01015809.1,NCL1_37714,zinc finger protein
NPIL_339161,BMAW01015809.1,F54H12.2_27,uncharacterized protein F54H12.2
NPIL_339171,BMAW01015809.1,AVEN_232345_1,uncharacterized protein
NPIL_339181,BMAW01015809.1,AVEN_80275_1,uncharacterized protein
NPIL_339191,BMAW01015809.1,AVEN_171547_1,uncharacterized protein
NPIL_339201,BMAW01015809.1,F54H12.3,putative uncharacterized transposon-derived protein F54H12.3
NPIL_33921,BMAW01008673.1,Unknown,hypothetical protein
NPIL_339211,BMAW01015809.1,AVEN_102719_1,uncharacterized protein
NPIL_339221,BMAW01027178.1,X975_17934,c2H2-type domain-containing protein
NPIL_339231,BMAW01027178.1,Unknown,uncharacterized protein
NPIL_339241,BMAW01051031.1,Unknown,hypothetical protein
NPIL_339251,BMAW01044259.1,Unknown,hypothetical protein
NPIL_339261,BMAW01045900.1,Unknown,hypothetical protein
NPIL_339271,BMAW01048642.1,NCL1_38110,uncharacterized protein
NPIL_339281,BMAW01111885.1,Unknown,hypothetical protein
NPIL_339291,BMAW01130679.1,AVEN_204142_1,uncharacterized protein
NPIL_339301,BMAW01130679.1,LSAMP,limbic system-associated membrane protein
NPIL_33931,BMAW01053445.1,Unknown,hypothetical protein
NPIL_339311,BMAW01130679.1,AVEN_75259_1,ig-like domain-containing protein
NPIL_339321,BMAW01117230.1,GOT2,"aspartate aminotransferase, mitochondrial"
NPIL_339331,BMAW01117230.1,Gld,glucose dehydrogenase
NPIL_339341,BMAW01117230.1,Unknown,hypothetical protein
NPIL_339351,BMAW01117230.1,Hdlbp,vigilin
NPIL_339352,BMAW01117230.1,Hdlbp,vigilin
NPIL_339361,BMAW01117230.1,MT1316,uncharacterized GMC-type oxidoreductase MT1316
NPIL_339371,BMAW01117230.1,Gld,glucose dehydrogenase
NPIL_339381,BMAW01117230.1,Gld,glucose dehydrogenase
NPIL_339391,BMAW01117230.1,Gld,glucose dehydrogenase
NPIL_339401,BMAW01117230.1,Unknown,hypothetical protein
NPIL_33941,BMAW01064943.1,Unknown,hypothetical protein
NPIL_339411,BMAW01117230.1,Gld,glucose dehydrogenase
NPIL_339412,BMAW01117230.1,Gld,glucose dehydrogenase
NPIL_339421,BMAW01118075.1,LSTR_LSTR003860,uncharacterized protein
NPIL_339431,BMAW01118075.1,RpS8,40S ribosomal protein S8
NPIL_339441,BMAW01118075.1,dlat-1,"dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"
NPIL_339451,BMAW01002270.1,Unknown,hypothetical protein
NPIL_339461,BMAW01018603.1,Unknown,techylectin-5A
NPIL_339471,BMAW01018603.1,AVEN_245204_1,uncharacterized protein
NPIL_339481,BMAW01018603.1,SERPINB10,serpin B10
NPIL_339491,BMAW01018603.1,Unknown,hypothetical protein
NPIL_339501,BMAW01019274.1,NCL1_40015,uncharacterized protein
NPIL_33951,BMAW01064943.1,Unknown,hypothetical protein
NPIL_339511,BMAW01019274.1,AVEN_172970_1,integrase catalytic domain-containing protein
NPIL_339521,BMAW01081747.1,NCL1_42346,cuticle protein 16.8
NPIL_339531,BMAW01078602.1,Unknown,hypothetical protein
NPIL_339541,BMAW01120052.1,Unknown,hypothetical protein
NPIL_339551,BMAW01007527.1,SGCD,delta-sarcoglycan
NPIL_339561,BMAW01007527.1,Unknown,hypothetical protein
NPIL_339571,BMAW01007527.1,Unknown,hypothetical protein
NPIL_339581,BMAW01054883.1,Unknown,hypothetical protein
NPIL_339591,BMAW01054883.1,EVAR_53689_1,uncharacterized protein
NPIL_339601,BMAW01054883.1,Unknown,ATP-dependent DNA helicase
NPIL_33961,BMAW01064943.1,Unknown,hypothetical protein
NPIL_339611,BMAW01002197.1,Unknown,hypothetical protein
NPIL_339621,BMAW01070491.1,Unknown,hypothetical protein
NPIL_339631,BMAW01020079.1,Unknown,hypothetical protein
NPIL_339641,BMAW01125672.1,pol_4433,retrovirus-related Pol polyprotein from transposon opus
NPIL_339651,BMAW01125672.1,mec-4_1,degenerin mec-4
NPIL_339661,BMAW01125672.1,Asic3,acid-sensing ion channel 3
NPIL_339671,BMAW01075282.1,Unknown,hypothetical protein
NPIL_339681,BMAW01075282.1,Unknown,hypothetical protein
NPIL_339691,BMAW01075282.1,Unknown,hypothetical protein
NPIL_339701,BMAW01058426.1,Unknown,hypothetical protein
NPIL_33971,BMAW01064943.1,Unknown,hypothetical protein
NPIL_339711,BMAW01000190.1,Unknown,hypothetical protein
NPIL_339721,BMAW01000190.1,X975_22565,uncharacterized protein
NPIL_339731,BMAW01000190.1,Unknown,hypothetical protein
NPIL_339741,BMAW01000190.1,Unknown,hypothetical protein
NPIL_339751,BMAW01000190.1,AVEN_55277_1,uncharacterized protein
NPIL_339761,BMAW01000190.1,Unknown,hypothetical protein
NPIL_339771,BMAW01000190.1,Unknown,hypothetical protein
NPIL_339781,BMAW01000190.1,Unknown,hypothetical protein
NPIL_339791,BMAW01000190.1,Unknown,hypothetical protein
NPIL_339801,BMAW01000190.1,Unknown,hypothetical protein
NPIL_33981,BMAW01064943.1,Unknown,hypothetical protein
NPIL_339811,BMAW01000190.1,Unknown,hypothetical protein
NPIL_339821,BMAW01000190.1,Unknown,hypothetical protein
NPIL_339831,BMAW01000190.1,Unknown,hypothetical protein
NPIL_339841,BMAW01000190.1,Ars2,serrate RNA effector molecule homolog
NPIL_339842,BMAW01000190.1,Ars2,serrate RNA effector molecule homolog
NPIL_339851,BMAW01000190.1,MFSD1,major facilitator superfamily domain-containing protein 1
NPIL_339852,BMAW01000190.1,mfsd1,major facilitator superfamily domain-containing protein 1
NPIL_339861,BMAW01000190.1,AVEN_255_1,uncharacterized protein
NPIL_339871,BMAW01000190.1,Unknown,hypothetical protein
NPIL_339881,BMAW01000190.1,Unknown,hypothetical protein
NPIL_339891,BMAW01052732.1,Unknown,hypothetical protein
NPIL_339901,BMAW01052732.1,Unknown,hypothetical protein
NPIL_33991,BMAW01064943.1,Unknown,hypothetical protein
NPIL_339911,BMAW01013869.1,AVEN_192039_1,g_PROTEIN_RECEP_F1_2 domain-containing protein
NPIL_339921,BMAW01013869.1,AVEN_192050_1,BHLH domain-containing protein
NPIL_339931,BMAW01013869.1,Unknown,hypothetical protein
NPIL_339941,BMAW01013869.1,X975_21762,integrase catalytic domain-containing protein
NPIL_339951,BMAW01013869.1,X975_18538,integrase catalytic domain-containing protein
NPIL_339961,BMAW01013869.1,AVEN_218542_1,integrase catalytic domain-containing protein
NPIL_339971,BMAW01013869.1,Unknown,hypothetical protein
NPIL_339981,BMAW01013869.1,Unknown,hypothetical protein
NPIL_339991,BMAW01065589.1,CYP9E2,cytochrome P450 9e2
NPIL_340001,BMAW01031541.1,AVEN_204331_1,integrase catalytic domain-containing protein
NPIL_34001,BMAW01064943.1,Unknown,hypothetical protein
NPIL_340011,BMAW01058746.1,Unknown,hypothetical protein
NPIL_340021,BMAW01070399.1,Unknown,hypothetical protein
NPIL_340031,BMAW01070399.1,Unknown,hypothetical protein
NPIL_340041,BMAW01070399.1,Unknown,hypothetical protein
NPIL_340051,BMAW01081599.1,Unknown,hypothetical protein
NPIL_340061,BMAW01081599.1,Unknown,hypothetical protein
NPIL_340071,BMAW01081599.1,Unknown,hypothetical protein
NPIL_340081,BMAW01055094.1,jub,LIM domain-containing protein jub
NPIL_340091,BMAW01055094.1,PFDN4,prefoldin subunit 4
NPIL_3401,BMAW01023468.1,Unknown,hypothetical protein
NPIL_340101,BMAW01027176.1,rbm24-a,RNA-binding protein 24-A
NPIL_34011,BMAW01064943.1,Unknown,hypothetical protein
NPIL_340111,BMAW01041073.1,Unknown,hypothetical protein
NPIL_340121,BMAW01041073.1,Unknown,hypothetical protein
NPIL_340131,BMAW01006450.1,CSGALNACT2,chondroitin sulfate N-acetylgalactosaminyltransferase 2
NPIL_340141,BMAW01023023.1,TRPM3_1,transient receptor potential cation channel subfamily M member 3
NPIL_340151,BMAW01120658.1,Unknown,hypothetical protein
NPIL_340161,BMAW01120658.1,Unknown,hypothetical protein
NPIL_340171,BMAW01084213.1,Unknown,hypothetical protein
NPIL_340181,BMAW01042654.1,Unknown,hypothetical protein
NPIL_340191,BMAW01026910.1,Unknown,hypothetical protein
NPIL_340201,BMAW01108153.1,mth2,g-protein coupled receptor Mth2
NPIL_34021,BMAW01064943.1,AVEN_266639_1,uncharacterized protein
NPIL_340211,BMAW01108153.1,Unknown,hypothetical protein
NPIL_340221,BMAW01108153.1,spop_47,speckle-type POZ protein
NPIL_340231,BMAW01023975.1,AVEN_270828_1,uncharacterized protein
NPIL_340241,BMAW01023975.1,Unknown,hypothetical protein
NPIL_340251,BMAW01017813.1,Unknown,hypothetical protein
NPIL_340261,BMAW01017813.1,AVEN_62611_1,integrase catalytic domain-containing protein
NPIL_340271,BMAW01096436.1,Unknown,hypothetical protein
NPIL_340281,BMAW01058845.1,Unknown,hypothetical protein
NPIL_340291,BMAW01058845.1,Idua,alpha-L-iduronidase
NPIL_340301,BMAW01058845.1,Idua,alpha-L-iduronidase
NPIL_34031,BMAW01064943.1,Unknown,hypothetical protein
NPIL_340311,BMAW01058845.1,Unknown,hypothetical protein
NPIL_340321,BMAW01058845.1,AVEN_14936_1,uncharacterized protein
NPIL_340331,BMAW01058845.1,Unknown,hypothetical protein
NPIL_340341,BMAW01058845.1,slou,hypothetical protein
NPIL_340351,BMAW01058845.1,AVEN_31778_1,uncharacterized protein
NPIL_340361,BMAW01058845.1,Unknown,hypothetical protein
NPIL_340371,BMAW01058845.1,Unknown,hypothetical protein
NPIL_340381,BMAW01058845.1,Unknown,hypothetical protein
NPIL_340391,BMAW01058845.1,foxd3-a,forkhead box protein D3-A
NPIL_340401,BMAW01058845.1,AVEN_72193_1,uncharacterized protein
NPIL_34041,BMAW01064943.1,Unknown,hypothetical protein
NPIL_340411,BMAW01058845.1,Unknown,hypothetical protein
NPIL_340421,BMAW01058845.1,Unknown,hypothetical protein
NPIL_340431,BMAW01058845.1,Unknown,hypothetical protein
NPIL_340441,BMAW01058845.1,Unknown,hypothetical protein
NPIL_340451,BMAW01058845.1,Unknown,hypothetical protein
NPIL_340461,BMAW01058845.1,Unknown,hypothetical protein
NPIL_340471,BMAW01058845.1,TXN,thioredoxin
NPIL_340481,BMAW01058845.1,Unknown,hypothetical protein
NPIL_340491,BMAW01058845.1,Chst1,hypothetical protein
NPIL_340501,BMAW01122960.1,Unknown,hypothetical protein
NPIL_34051,BMAW01064943.1,Unknown,hypothetical protein
NPIL_340511,BMAW01122960.1,Unknown,hypothetical protein
NPIL_340521,BMAW01122960.1,Unknown,hypothetical protein
NPIL_340531,BMAW01122960.1,Unknown,hypothetical protein
NPIL_340541,BMAW01122960.1,Unknown,hypothetical protein
NPIL_340551,BMAW01089812.1,Unknown,hypothetical protein
NPIL_340561,BMAW01103328.1,SETMAR_215,histone-lysine N-methyltransferase SETMAR
NPIL_340571,BMAW01052107.1,Unknown,hypothetical protein
NPIL_340581,BMAW01097916.1,Unknown,hypothetical protein
NPIL_340591,BMAW01037590.1,Unknown,hypothetical protein
NPIL_340601,BMAW01032051.1,Unknown,hypothetical protein
NPIL_34061,BMAW01064943.1,Unknown,hypothetical protein
NPIL_340611,BMAW01032051.1,HEXA,beta-hexosaminidase subunit alpha
NPIL_340612,BMAW01032051.1,HEXA,beta-hexosaminidase subunit alpha
NPIL_340621,BMAW01050710.1,Unknown,hypothetical protein
NPIL_340631,BMAW01050710.1,Unknown,hypothetical protein
NPIL_340641,BMAW01050710.1,Unknown,hypothetical protein
NPIL_340651,BMAW01050710.1,Unknown,hypothetical protein
NPIL_340661,BMAW01050710.1,Unknown,hypothetical protein
NPIL_340671,BMAW01096841.1,Unknown,hypothetical protein
NPIL_340681,BMAW01096841.1,Unknown,hypothetical protein
NPIL_340691,BMAW01096841.1,Unknown,hypothetical protein
NPIL_340701,BMAW01065943.1,NCL1_46043,amiloride-sensitive sodium channel subunit alpha
NPIL_34071,BMAW01064943.1,Unknown,hypothetical protein
NPIL_340711,BMAW01024559.1,Unknown,hypothetical protein
NPIL_340721,BMAW01010045.1,SLC5A12_10,sodium-coupled monocarboxylate transporter 2
NPIL_340731,BMAW01032406.1,Unknown,hypothetical protein
NPIL_340741,BMAW01032406.1,Unknown,hypothetical protein
NPIL_340751,BMAW01130732.1,Nlgn2,neuroligin-2
NPIL_340761,BMAW01068913.1,NCL1_41668,uncharacterized protein
NPIL_340771,BMAW01115936.1,AVEN_246988_1,integrase catalytic domain-containing protein
NPIL_340781,BMAW01115936.1,AVEN_133778_1,uncharacterized protein
NPIL_340791,BMAW01115936.1,DSCAM,down syndrome cell adhesion molecule homolog
NPIL_340801,BMAW01111782.1,AVEN_271635_1,uncharacterized protein
NPIL_34081,BMAW01064943.1,Unknown,hypothetical protein
NPIL_340811,BMAW01088005.1,Unknown,hypothetical protein
NPIL_340821,BMAW01117974.1,Unknown,"arrestin, lateral eye"
NPIL_340831,BMAW01024390.1,SETMAR,histone-lysine N-methyltransferase SETMAR
NPIL_340841,BMAW01101888.1,Unknown,hypothetical protein
NPIL_340851,BMAW01003683.1,AVEN_62121_1,uncharacterized protein
NPIL_340861,BMAW01003683.1,AVEN_230623_1,uncharacterized protein
NPIL_340871,BMAW01003683.1,AVEN_224748_1,integrase catalytic domain-containing protein
NPIL_340881,BMAW01121246.1,Unknown,hypothetical protein
NPIL_340891,BMAW01071615.1,Unknown,hypothetical protein
NPIL_340901,BMAW01044306.1,mariner-7,mariner-7 protein
NPIL_34091,BMAW01064943.1,Unknown,hypothetical protein
NPIL_340911,BMAW01001582.1,AVEN_251935_1,DUF5641 domain-containing protein
NPIL_340921,BMAW01001582.1,Unknown,hypothetical protein
NPIL_340931,BMAW01001582.1,Unknown,hypothetical protein
NPIL_340941,BMAW01001582.1,MRPS5,"28S ribosomal protein S5, mitochondrial"
NPIL_340951,BMAW01131922.1,Unknown,hypothetical protein
NPIL_340961,BMAW01073304.1,Unknown,hypothetical protein
NPIL_340971,BMAW01103770.1,Unknown,hypothetical protein
NPIL_340981,BMAW01103770.1,Unknown,hypothetical protein
NPIL_340991,BMAW01103770.1,Unknown,uncharacterized protein
NPIL_341,BMAW01131165.1,Unknown,hypothetical protein
NPIL_341001,BMAW01022652.1,Unknown,hypothetical protein
NPIL_34101,BMAW01064943.1,AVEN_203750_1,uncharacterized protein
NPIL_341011,BMAW01081088.1,Unknown,hypothetical protein
NPIL_341021,BMAW01081088.1,NCL1_34909,uncharacterized protein
NPIL_341031,BMAW01081088.1,Unknown,hypothetical protein
NPIL_341041,BMAW01081088.1,NCL1_21790,uncharacterized protein
NPIL_341051,BMAW01081088.1,Unknown,hypothetical protein
NPIL_341061,BMAW01081088.1,Unknown,hypothetical protein
NPIL_341071,BMAW01081088.1,NCL1_21794,uncharacterized protein
NPIL_341081,BMAW01081088.1,NCL1_21795,uncharacterized protein
NPIL_341091,BMAW01081088.1,ppp2r3c,hypothetical protein
NPIL_3411,BMAW01101306.1,Unknown,hypothetical protein
NPIL_341101,BMAW01081088.1,slc25a28,mitoferrin-2
NPIL_34111,BMAW01064943.1,Unknown,hypothetical protein
NPIL_341111,BMAW01081088.1,PRDM13,PR domain zinc finger protein 13
NPIL_341121,BMAW01081088.1,AVEN_118203_1,sod_Cu domain-containing protein
NPIL_341131,BMAW01081088.1,Unknown,hypothetical protein
NPIL_341141,BMAW01081088.1,NKX6-2,homeobox protein Nkx-6.2
NPIL_341151,BMAW01081088.1,Unknown,hypothetical protein
NPIL_341161,BMAW01081088.1,Unknown,hypothetical protein
NPIL_341171,BMAW01081088.1,Unknown,hypothetical protein
NPIL_341181,BMAW01081088.1,AVEN_63251_1,uncharacterized protein
NPIL_341191,BMAW01081088.1,AVEN_21941_1,uncharacterized protein
NPIL_341201,BMAW01081088.1,Unknown,hypothetical protein
NPIL_34121,BMAW01064943.1,Unknown,hypothetical protein
NPIL_341211,BMAW01048471.1,Unknown,putative mariner transposase
NPIL_341221,BMAW01096859.1,Unknown,hypothetical protein
NPIL_341231,BMAW01091145.1,NCL1_17165,uncharacterized protein
NPIL_341241,BMAW01091145.1,Unknown,hypothetical protein
NPIL_341251,BMAW01091145.1,Unknown,hypothetical protein
NPIL_341261,BMAW01091145.1,Unknown,hypothetical protein
NPIL_341271,BMAW01091145.1,Unknown,hypothetical protein
NPIL_341281,BMAW01091145.1,Unknown,hypothetical protein
NPIL_341291,BMAW01091145.1,Dtl,denticleless protein homolog
NPIL_341301,BMAW01076330.1,Unknown,hypothetical protein
NPIL_34131,BMAW01014861.1,Unknown,hypothetical protein
NPIL_341311,BMAW01076330.1,Unknown,hypothetical protein
NPIL_341321,BMAW01076330.1,Unknown,hypothetical protein
NPIL_341331,BMAW01076330.1,Unknown,hypothetical protein
NPIL_341341,BMAW01076330.1,Unknown,hypothetical protein
NPIL_341351,BMAW01063750.1,Hdlbp,vigilin
NPIL_341361,BMAW01063750.1,Unknown,hypothetical protein
NPIL_341371,BMAW01010177.1,NCL1_36651,uncharacterized protein
NPIL_341381,BMAW01010177.1,Unknown,hypothetical protein
NPIL_341391,BMAW01072274.1,Unknown,hypothetical protein
NPIL_341401,BMAW01072274.1,AVEN_233167_1,SOCS box domain-containing protein
NPIL_341411,BMAW01000081.1,X975_21745,putative transposase-like protein
NPIL_341421,BMAW01057783.1,X975_12918,protocadherin Fat 1
NPIL_341431,BMAW01085696.1,ABCC1,multidrug resistance-associated protein 1
NPIL_341441,BMAW01074608.1,Unknown,hypothetical protein
NPIL_341451,BMAW01126968.1,Unknown,hypothetical protein
NPIL_341461,BMAW01022465.1,Unknown,hypothetical protein
NPIL_341471,BMAW01051658.1,AVEN_255599_1,c2-set_2 domain-containing protein
NPIL_341481,BMAW01051658.1,Unknown,hypothetical protein
NPIL_341491,BMAW01051658.1,Unknown,hypothetical protein
NPIL_341501,BMAW01051658.1,AVEN_38331_1,ig-like domain-containing protein
NPIL_341511,BMAW01020268.1,ppsA_4,putative phosphoenolpyruvate synthase
NPIL_341521,BMAW01029423.1,Unknown,hypothetical protein
NPIL_341531,BMAW01051580.1,AVEN_95668_1,integrase catalytic domain-containing protein
NPIL_341541,BMAW01095878.1,Unknown,hypothetical protein
NPIL_341551,BMAW01021616.1,Unknown,hypothetical protein
NPIL_341561,BMAW01103375.1,AVEN_75695_1,uncharacterized protein
NPIL_341571,BMAW01049645.1,Unknown,hypothetical protein
NPIL_341581,BMAW01082253.1,Unknown,retrovirus-related Pol polyprotein from type-1 retrotransposable element R2
NPIL_341591,BMAW01082253.1,SETMAR_215,histone-lysine N-methyltransferase SETMAR
NPIL_341601,BMAW01036608.1,Unknown,uncharacterized protein
NPIL_341611,BMAW01013153.1,Unknown,hypothetical protein
NPIL_341621,BMAW01128463.1,Unknown,hypothetical protein
NPIL_341631,BMAW01128463.1,nas-6,zinc metalloproteinase nas-6
NPIL_341641,BMAW01128463.1,Unknown,hypothetical protein
NPIL_341651,BMAW01128463.1,Cdh23,cadherin-23
NPIL_341652,BMAW01128463.1,Cdh23,cadherin-23
NPIL_341661,BMAW01128463.1,Unknown,hypothetical protein
NPIL_341671,BMAW01128463.1,Unknown,hypothetical protein
NPIL_341681,BMAW01128463.1,chiPu_0009255,HTH CENPB-type domain-containing protein
NPIL_341691,BMAW01128463.1,Unknown,hypothetical protein
NPIL_341701,BMAW01128463.1,Unknown,hypothetical protein
NPIL_341711,BMAW01128463.1,Unknown,hypothetical protein
NPIL_341721,BMAW01128463.1,Unknown,hypothetical protein
NPIL_341731,BMAW01085796.1,NCL1_57044,anapc4
NPIL_341741,BMAW01089900.1,Unknown,hypothetical protein
NPIL_341751,BMAW01089900.1,Unknown,hypothetical protein
NPIL_341761,BMAW01086241.1,AVEN_267165_1,uncharacterized protein
NPIL_341771,BMAW01120669.1,Unknown,hypothetical protein
NPIL_341781,BMAW01027683.1,Unknown,hypothetical protein
NPIL_341791,BMAW01116784.1,AVEN_83989_1,uncharacterized protein
NPIL_341801,BMAW01016731.1,Unknown,hypothetical protein
NPIL_341811,BMAW01089957.1,Unknown,hypothetical protein
NPIL_341821,BMAW01058519.1,Unknown,hypothetical protein
NPIL_341831,BMAW01119999.1,Unknown,hypothetical protein
NPIL_341841,BMAW01119999.1,Unknown,hypothetical protein
NPIL_341851,BMAW01119999.1,Unknown,hypothetical protein
NPIL_341861,BMAW01119999.1,Unknown,hypothetical protein
NPIL_341871,BMAW01119999.1,Unknown,hypothetical protein
NPIL_341881,BMAW01011942.1,SLC17A5,hypothetical protein
NPIL_341891,BMAW01083737.1,Unknown,hypothetical protein
NPIL_341901,BMAW01121752.1,Unknown,hypothetical protein
NPIL_34191,BMAW01132851.1,Unknown,hypothetical protein
NPIL_341911,BMAW01119054.1,Unknown,hypothetical protein
NPIL_341921,BMAW01071356.1,Unknown,hypothetical protein
NPIL_341931,BMAW01080828.1,Unknown,hypothetical protein
NPIL_341941,BMAW01099672.1,Unknown,hypothetical protein
NPIL_341951,BMAW01076561.1,Unknown,hypothetical protein
NPIL_341961,BMAW01044536.1,Unknown,hypothetical protein
NPIL_341971,BMAW01029011.1,Unknown,hypothetical protein
NPIL_341981,BMAW01032411.1,Unknown,gag-Pol polyprotein
NPIL_341991,BMAW01032411.1,Unknown,hypothetical protein
NPIL_342001,BMAW01061261.1,Unknown,hypothetical protein
NPIL_34201,BMAW01132851.1,Unknown,hypothetical protein
NPIL_342011,BMAW01107914.1,AVEN_166998_1,uncharacterized protein
NPIL_342021,BMAW01037609.1,Unknown,hypothetical protein
NPIL_342031,BMAW01047013.1,Unknown,hypothetical protein
NPIL_342041,BMAW01047013.1,TRABD2A,metalloprotease TIKI1
NPIL_342051,BMAW01047013.1,Unknown,hypothetical protein
NPIL_342061,BMAW01045837.1,Unknown,hypothetical protein
NPIL_342071,BMAW01102209.1,AACS,acetoacetyl-CoA synthetase
NPIL_342081,BMAW01102590.1,Unknown,hypothetical protein
NPIL_342091,BMAW01103047.1,Unknown,protein CDV3-like protein
NPIL_3421,BMAW01101306.1,eag,potassium voltage-gated channel protein eag
NPIL_342101,BMAW01036731.1,slc5a8,sodium-coupled monocarboxylate transporter 1
NPIL_34211,BMAW01132851.1,Unknown,hypothetical protein
NPIL_342111,BMAW01126841.1,X975_19241,IRF tryptophan pentad repeat domain-containing protein
NPIL_342121,BMAW01050398.1,RMND1,required for meiotic nuclear division protein 1 homolog
NPIL_342131,BMAW01050398.1,PLA2,phospholipase A(2)
NPIL_342141,BMAW01009342.1,Unknown,hypothetical protein
NPIL_342151,BMAW01041996.1,AVEN_245606_1,uncharacterized protein
NPIL_342161,BMAW01062103.1,Papd5,non-canonical poly(A) RNA polymerase PAPD5
NPIL_342171,BMAW01110469.1,Unknown,hypothetical protein
NPIL_342181,BMAW01110469.1,Unknown,hypothetical protein
NPIL_342191,BMAW01101124.1,AACS,acetoacetyl-CoA synthetase
NPIL_342201,BMAW01101124.1,Unknown,hypothetical protein
