# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-g" "gene_id" "-a" "annotation.gtf" "-o" "counts/temp_counts_gene.txt" "alignments/NPFM1_sorted.bam" "alignments/NPFM2_sorted.bam" "alignments/NPFM3_sorted.bam" "alignments/NPFM4_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/NPFM1_sorted.bam	alignments/NPFM2_sorted.bam	alignments/NPFM3_sorted.bam	alignments/NPFM4_sorted.bam
NPIL_288231	BMAW01082584.1	625397	642463	+	17067	1169	403	86	707
NPIL_288241	BMAW01082584.1	653855	665272	+	11418	34	25	76	8
NPIL_288251	BMAW01082584.1	758563	808013	+	49451	158	231	360	90
NPIL_288261	BMAW01082584.1	856238	885975	+	29738	468	106	185	373
NPIL_288271	BMAW01082584.1	899878	900210	+	333	0	0	6	0
NPIL_288281	BMAW01082584.1	903416	930884	+	27469	1	199	259	14
NPIL_288291	BMAW01082584.1	946902	986633	+	39732	58	166	221	26
NPIL_288302	BMAW01082584.1;BMAW01082584.1;BMAW01082584.1	1101631;1104795;1124966	1102809;1104844;1124984	-;-;-	1248	0	1	0	0
NPIL_288301	BMAW01082584.1;BMAW01082584.1;BMAW01082584.1	1101631;1104795;1121055	1102809;1104844;1121088	-;-;-	1263	0	0	0	0
NPIL_288303	BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1	1101631;1104497;1104795;1121055	1102809;1104514;1104844;1121088	-;-;-;-	1281	0	0	0	0
NPIL_288311	BMAW01082584.1	1200096	1222243	+	22148	18	54	136	12
NPIL_288321	BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1	1247724;1248093;1248432;1249988;1252281;1253974;1254669;1255042;1255651;1256108;1257155;1258963;1262439;1263616	1247833;1248345;1248619;1250065;1252438;1254271;1254928;1255165;1255938;1256380;1257343;1259109;1262740;1263706	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2759	0	0	0	0
NPIL_288322	BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1	1247724;1248093;1248432;1252281;1253974;1254669;1255042;1255651;1256108;1257155;1258963;1262439;1263616	1247833;1248345;1248619;1252438;1254271;1254928;1255165;1255938;1256380;1257343;1259109;1262740;1263706	+;+;+;+;+;+;+;+;+;+;+;+;+	2681	0	0	0	0
NPIL_288331	BMAW01082584.1	1270186	1289525	-	19340	1413	471	115	538
NPIL_288341	BMAW01082584.1	1291375	1307969	+	16595	64	26	63	40
NPIL_288352	BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1	1330605;1332221;1336205;1339291;1340059;1340252;1341454;1341624;1344765	1330825;1332392;1336423;1339452;1340167;1340382;1341530;1341859;1344967	+;+;+;+;+;+;+;+;+	1530	0	0	0	0
NPIL_288351	BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1;BMAW01082584.1	1330605;1332221;1336205;1339291;1340059;1340252;1341454;1341624;1344765	1330825;1332392;1336423;1339452;1340158;1340382;1341530;1341859;1344967	+;+;+;+;+;+;+;+;+	1521	0	0	0	0
NPIL_288361	BMAW01082584.1	1360265	1362259	+	1995	0	0	0	0
NPIL_288371	BMAW01082584.1	1392530	1392892	+	363	0	0	0	0
NPIL_423011	BMAW01082597.1	3721	4368	+	648	0	0	0	0
NPIL_327321	BMAW01082612.1	1796	3377	-	1582	0	0	0	0
NPIL_16551	BMAW01082613.1	2377	2792	+	416	0	0	0	0
NPIL_16561	BMAW01082613.1	2888	3181	+	294	0	0	0	0
NPIL_16571	BMAW01082613.1	5076	5864	-	789	0	0	0	0
NPIL_95391	BMAW01082620.1	10832	11065	+	234	0	0	0	0
NPIL_155631	BMAW01082622.1	1385	4331	+	2947	0	0	0	0
NPIL_337021	BMAW01082624.1	1213	10233	-	9021	0	4	1	0
NPIL_337031	BMAW01082624.1;BMAW01082624.1	11000;29706	22687;29843	+;+	11826	0	0	1	0
NPIL_337041	BMAW01082624.1	26195	26434	-	240	0	0	0	0
NPIL_337051	BMAW01082624.1	28911	29213	+	303	0	0	0	0
NPIL_353491	BMAW01082645.1	185995	186762	+	768	0	0	2	2
NPIL_353501	BMAW01082645.1	202869	243346	-	40478	49	23	95	28
NPIL_353511	BMAW01082645.1	243398	255226	-	11829	0	3	23	2
NPIL_367001	BMAW01082647.1	1292	1426	+	135	0	0	0	0
NPIL_321041	BMAW01082650.1	8342	8548	+	207	0	0	0	0
NPIL_646131	BMAW01082653.1	3076	3908	+	833	0	0	0	0
NPIL_470541	BMAW01082666.1	2345	2569	-	225	0	0	0	0
NPIL_285791	BMAW01082672.1	5393	5998	-	606	0	0	0	0
NPIL_313561	BMAW01082695.1	6193	8641	-	2449	0	14	10	0
NPIL_499361	BMAW01082696.1	664	5035	-	4372	0	0	3	0
NPIL_499371	BMAW01082696.1	20189	21394	-	1206	30	0	2	2
NPIL_655001	BMAW01082697.1	546	815	-	270	0	0	0	0
NPIL_655011	BMAW01082697.1	972	1405	-	434	0	0	0	0
NPIL_588301	BMAW01082699.1	2869	3616	-	748	0	0	0	0
NPIL_262211	BMAW01082704.1	83338	83598	+	261	0	0	6	2
NPIL_262221	BMAW01082704.1	91516	91779	-	264	0	0	0	0
NPIL_262231	BMAW01082704.1	125399	125707	-	309	0	0	0	0
NPIL_262241	BMAW01082704.1	202279	203604	+	1326	0	10	28	0
NPIL_262251	BMAW01082704.1	211233	211559	+	327	0	0	0	0
NPIL_539661	BMAW01082705.1;BMAW01082705.1;BMAW01082705.1	1;435;2747	8;527;2866	-;-;-	221	0	0	0	0
NPIL_539662	BMAW01082705.1;BMAW01082705.1;BMAW01082705.1	9;435;2747	29;527;2866	-;-;-	234	0	0	0	0
NPIL_521731	BMAW01082709.1	1268	1615	+	348	8	0	0	7
NPIL_402681	BMAW01082713.1	1	2494	-	2494	0	0	0	0
NPIL_479071	BMAW01082715.1	1	371	-	371	0	0	6	0
NPIL_479081	BMAW01082715.1	828	1139	+	312	491	5000	1975	232
NPIL_479091	BMAW01082715.1	3124	3726	-	603	134	2448	6289	623
NPIL_479101	BMAW01082715.1	3939	4349	+	411	163	542	2714	66
NPIL_479111	BMAW01082715.1	4955	5329	-	375	151	2368	1498	28
NPIL_530891	BMAW01082718.1	221	922	+	702	0	0	0	0
NPIL_468541	BMAW01082719.1	704	12659	-	11956	0	0	1	0
NPIL_539171	BMAW01082731.1	2074	3818	-	1745	4	0	0	0
NPIL_21721	BMAW01082737.1	25204	25458	+	255	0	0	2	0
NPIL_21731	BMAW01082737.1;BMAW01082737.1;BMAW01082737.1;BMAW01082737.1;BMAW01082737.1	86182;94946;97908;140932;148652	86547;95157;98060;141063;148751	-;-;-;-;-	963	0	0	0	0
NPIL_21732	BMAW01082737.1;BMAW01082737.1;BMAW01082737.1;BMAW01082737.1;BMAW01082737.1	86182;94937;97908;140932;148652	86547;95157;98060;141063;148751	-;-;-;-;-	972	0	0	0	0
NPIL_21741	BMAW01082737.1	162624	179536	-	16913	0	13	38	0
NPIL_21751	BMAW01082737.1	281022	384845	+	103824	33	161	368	7
NPIL_21761	BMAW01082737.1	531279	531596	-	318	0	0	2	0
NPIL_54471	BMAW01082738.1	9353	9808	+	456	0	0	2	0
NPIL_219531	BMAW01082739.1	3536	3826	+	291	0	0	0	0
NPIL_109881	BMAW01082745.1	60536	64555	-	4020	0	1	8	0
NPIL_376641	BMAW01082746.1	2348	2546	-	199	0	0	0	0
NPIL_218841	BMAW01082756.1	2458	3108	+	651	0	0	0	0
NPIL_218851	BMAW01082756.1	3459	3707	+	249	0	0	0	0
NPIL_248451	BMAW01082764.1	26	463	-	438	0	0	2	0
NPIL_332251	BMAW01082769.1	3033	3222	+	190	0	0	2	0
NPIL_299781	BMAW01082774.1	2169	6511	-	4343	0	0	0	0
NPIL_515211	BMAW01082776.1	100355	101242	-	888	0	0	0	0
NPIL_404431	BMAW01082780.1	1385	1669	-	285	0	0	0	0
NPIL_358791	BMAW01082790.1	3017	3298	-	282	0	2	1	0
NPIL_134361	BMAW01082791.1	512	5191	-	4680	0	0	0	0
NPIL_378991	BMAW01082792.1	57165	57859	-	695	0	0	0	0
NPIL_379001	BMAW01082792.1	67655	67951	+	297	0	0	0	0
NPIL_379011	BMAW01082792.1	89515	127702	-	38188	33	15	61	4
NPIL_379021	BMAW01082792.1	222332	222577	+	246	0	0	0	0
NPIL_116601	BMAW01082796.1	333	5123	-	4791	0	0	2	0
NPIL_367761	BMAW01082804.1	269	441	+	173	0	0	2	0
NPIL_525271	BMAW01082807.1	256	2508	-	2253	0	0	4	0
NPIL_281511	BMAW01082814.1	2499	21440	-	18942	0	2	6	0
NPIL_26211	BMAW01082823.1	1627	3627	-	2001	0	0	0	0
NPIL_662501	BMAW01082825.1	887	7733	+	6847	0	8	18	0
NPIL_662511	BMAW01082825.1	54045	96262	+	42218	38	52	67	0
NPIL_662521	BMAW01082825.1	108624	109616	+	993	0	0	0	0
NPIL_662531	BMAW01082825.1	109721	117343	+	7623	2	6	9	0
NPIL_662541	BMAW01082825.1	117348	140906	+	23559	42	16	19	6
NPIL_662551	BMAW01082825.1	151142	203253	-	52112	1	47	137	0
NPIL_662561	BMAW01082825.1	247198	251016	+	3819	2	0	0	0
NPIL_662571	BMAW01082825.1	434022	497777	-	63756	71	81	233	96
NPIL_662581	BMAW01082825.1	572769	611472	+	38704	0	20	36	2
NPIL_662591	BMAW01082825.1	616265	668555	-	52291	16	35	64	8
NPIL_662601	BMAW01082825.1	711735	712889	+	1155	0	0	2	0
NPIL_662611	BMAW01082825.1	721280	735224	+	13945	11	13	59	0
NPIL_662621	BMAW01082825.1	739995	741887	-	1893	16	9	0	4
NPIL_662631	BMAW01082825.1	768578	769762	-	1185	0	0	0	0
NPIL_662641	BMAW01082825.1	793692	811805	-	18114	7	6	24	1
NPIL_662651	BMAW01082825.1	830069	835870	-	5802	0	3	10	0
NPIL_463681	BMAW01082826.1	85	969	+	885	0	1	0	0
NPIL_455341	BMAW01082828.1	2377	2528	+	152	0	0	0	0
NPIL_455351	BMAW01082828.1	7664	14685	-	7022	0	0	0	0
NPIL_689211	BMAW01082834.1	407	658	+	252	0	0	0	0
NPIL_689221	BMAW01082834.1	57516	64379	-	6864	0	2	5	0
NPIL_647571	BMAW01082842.1	1063	1365	+	303	0	3	5	0
NPIL_647581	BMAW01082842.1	18634	21680	+	3047	2	0	0	0
NPIL_647591	BMAW01082842.1	106371	106691	+	321	0	0	0	0
NPIL_647601	BMAW01082842.1	183180	187743	+	4564	0	1	18	0
NPIL_647611	BMAW01082842.1	222842	228901	+	6060	0	0	12	0
NPIL_647621	BMAW01082842.1	229379	229729	+	351	0	0	0	0
NPIL_647631	BMAW01082842.1	229807	230082	+	276	0	0	0	0
NPIL_647641	BMAW01082842.1	261779	262078	-	300	0	0	0	0
NPIL_647652	BMAW01082842.1;BMAW01082842.1;BMAW01082842.1;BMAW01082842.1;BMAW01082842.1;BMAW01082842.1;BMAW01082842.1;BMAW01082842.1;BMAW01082842.1;BMAW01082842.1	273153;273566;274103;277521;279903;282371;294337;295246;306655;309528	273294;273643;274258;277619;279995;282432;294437;295426;306807;309650	-;-;-;-;-;-;-;-;-;-	1188	0	0	0	0
NPIL_647651	BMAW01082842.1;BMAW01082842.1;BMAW01082842.1;BMAW01082842.1;BMAW01082842.1;BMAW01082842.1;BMAW01082842.1;BMAW01082842.1;BMAW01082842.1;BMAW01082842.1	273153;273566;274103;277521;279903;282371;294337;295246;306655;309528	273294;273643;274261;277619;279995;282432;294437;295426;306807;309650	-;-;-;-;-;-;-;-;-;-	1191	0	0	0	0
NPIL_647661	BMAW01082842.1	418122	418703	-	582	18	6	0	20
NPIL_168801	BMAW01082859.1	2395	7203	-	4809	0	8	24	1
NPIL_673481	BMAW01082864.1	25921	27210	-	1290	0	0	0	0
NPIL_354431	BMAW01082865.1	923	1114	-	192	0	0	0	0
NPIL_624721	BMAW01082872.1	25532	25801	+	270	0	0	0	0
NPIL_624731	BMAW01082872.1	120292	121215	-	924	0	0	0	0
NPIL_430981	BMAW01082879.1	88262	91433	-	3172	0	0	4	0
NPIL_430991	BMAW01082879.1	157524	157841	+	318	0	0	0	0
NPIL_598211	BMAW01082881.1	7934	8009	-	76	0	0	2	0
NPIL_380251	BMAW01082899.1	2023	3061	-	1039	0	0	0	0
NPIL_380261	BMAW01082899.1	4771	5980	-	1210	0	0	0	0
NPIL_380271	BMAW01082899.1	7568	7954	-	387	0	0	0	0
NPIL_380281	BMAW01082899.1	7968	9715	+	1748	0	0	0	0
NPIL_380291	BMAW01082899.1	9970	12521	-	2552	0	0	0	0
NPIL_259361	BMAW01082900.1	5735	6301	+	567	0	0	0	0
NPIL_665561	BMAW01082906.1	175	492	+	318	0	0	0	0
NPIL_665571	BMAW01082906.1	707	1206	-	500	0	0	4	0
NPIL_680021	BMAW01082913.1	1370	2862	-	1493	0	2	10	0
NPIL_496791	BMAW01082922.1	468	791	-	324	0	0	0	0
NPIL_429821	BMAW01082928.1	1358	2019	+	662	0	0	0	0
NPIL_359091	BMAW01082931.1	1434	1513	-	80	0	0	0	0
NPIL_446771	BMAW01082933.1	2463	3668	+	1206	0	0	0	0
NPIL_446781	BMAW01082933.1	29692	35380	-	5689	0	4	25	0
NPIL_542991	BMAW01082943.1	24662	25252	+	591	0	0	8	0
NPIL_543001	BMAW01082943.1	29633	164716	-	135084	6	171	518	26
NPIL_543011	BMAW01082943.1	295322	295624	-	303	0	1	1	0
NPIL_543021	BMAW01082943.1	366569	373173	+	6605	0	0	8	0
NPIL_543031	BMAW01082943.1	557884	558222	-	339	0	0	0	0
NPIL_543041	BMAW01082943.1	740171	740419	-	249	0	0	2	0
NPIL_543051	BMAW01082943.1	767602	773543	+	5942	0	6	13	0
NPIL_76661	BMAW01082956.1	2681	2968	+	288	0	0	0	0
NPIL_187021	BMAW01082960.1	423	1846	+	1424	1	0	12	0
NPIL_408981	BMAW01082967.1	35492	35782	-	291	0	0	0	0
NPIL_408991	BMAW01082967.1	37095	37379	+	285	0	0	0	0
NPIL_409001	BMAW01082967.1	99342	141801	-	42460	102	94	128	41
NPIL_409011	BMAW01082967.1	212101	219621	+	7521	60	28	50	6
NPIL_409021	BMAW01082967.1	238713	243730	+	5018	5	2	9	2
NPIL_409031	BMAW01082967.1	254375	260041	+	5667	5	0	10	5
NPIL_409041	BMAW01082967.1	280221	282456	+	2236	2	2	0	4
NPIL_409051	BMAW01082967.1	292461	294032	+	1572	25	8	12	2
NPIL_409061	BMAW01082967.1	296946	336470	-	39525	16	80	147	12
NPIL_409071	BMAW01082967.1	396256	396564	-	309	0	0	3	0
NPIL_409082	BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1	463698;465184;466307;470620;475138;476455;481296;483596;483890;484256;484892;486981;488450;490607;492548;495428;510150	463830;465347;466629;470735;475302;476582;483216;483710;483966;484376;485152;487092;488576;490692;492763;495523;511157	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5169	0	0	0	0
NPIL_409081	BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1	463698;465184;466307;470620;471449;475138;476455;481296;483596;483890;484256;484892;486981;488450;490607;492548;495428;510150	463830;465347;466629;470735;471547;475302;476582;483216;483710;483966;484376;485152;487092;488576;490692;492763;495523;511157	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5268	0	4	2	2
NPIL_409091	BMAW01082967.1	515776	516126	+	351	0	2	2	0
NPIL_409101	BMAW01082967.1	572547	572912	-	366	2	0	0	2
NPIL_409111	BMAW01082967.1	622009	622887	+	879	86	11	5	80
NPIL_409121	BMAW01082967.1	767843	856117	+	88275	612	306	510	244
NPIL_409131	BMAW01082967.1	918207	920288	-	2082	0	0	10	2
NPIL_409141	BMAW01082967.1	929180	961438	+	32259	107	65	151	284
NPIL_409152	BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1	967063;969493;970871;971514;976884;977151;977464;980080;984718;1015715;1017940;1057195;1058795	967173;969602;970958;971584;976947;977189;977509;980153;984791;1015744;1018000;1057266;1058914	-;-;-;-;-;-;-;-;-;-;-;-;-	960	0	0	0	0
NPIL_409151	BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1;BMAW01082967.1	967063;969493;970871;971514;973023;976884;977151;977464;980080;984718;1015715;1017940;1057195;1058795	967173;969602;970958;971584;973082;976947;977189;977509;980153;984791;1015744;1018000;1057266;1058914	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1020	0	0	0	2
NPIL_409161	BMAW01082967.1	1059133	1060514	+	1382	7	4	3	0
NPIL_409171	BMAW01082967.1	1070078	1070629	+	552	0	0	6	0
NPIL_409181	BMAW01082967.1	1094917	1095174	-	258	15	4	0	2
NPIL_409191	BMAW01082967.1	1147420	1225534	-	78115	403	356	495	140
NPIL_409201	BMAW01082967.1	1231266	1231580	+	315	0	6	7	0
NPIL_409211	BMAW01082967.1	1242712	1243068	+	357	0	0	2	0
NPIL_409221	BMAW01082967.1	1266388	1266672	+	285	0	2	3	0
NPIL_409231	BMAW01082967.1	1297388	1346849	-	49462	208	201	324	66
NPIL_409241	BMAW01082967.1	1652838	1654900	+	2063	2	6	20	2
NPIL_81573	BMAW01082967.1	1658309	1658390	-	82	0	0	0	0
NPIL_409251	BMAW01082967.1	1703025	1708368	+	5344	0	69	67	0
NPIL_409261	BMAW01082967.1	1718058	1723909	-	5852	1	14	14	0
NPIL_410251	BMAW01082968.1	1765	2669	+	905	0	0	0	0
NPIL_704811	BMAW01082969.1	2	493	+	492	0	0	0	0
NPIL_658631	BMAW01082971.1	66748	70167	-	3420	1	0	0	2
NPIL_633301	BMAW01082974.1	1032	1255	-	224	0	0	0	0
NPIL_580681	BMAW01082979.1	2142	2670	+	529	0	0	0	0
NPIL_60371	BMAW01083013.1	24089	34853	+	10765	0	0	0	0
NPIL_60381	BMAW01083013.1	53973	79588	-	25616	0	1	1	0
NPIL_81574	BMAW01083020.1	2450	2522	+	73	0	0	0	0
NPIL_375211	BMAW01083031.1	335	525	+	191	0	0	0	0
NPIL_149911	BMAW01083034.1	974	1270	-	297	6	2	2	0
NPIL_61811	BMAW01083041.1	19109	19498	-	390	0	0	0	0
NPIL_674551	BMAW01083046.1	2	404	+	403	0	0	0	0
NPIL_674561	BMAW01083046.1	772	1074	-	303	0	0	0	0
NPIL_674571	BMAW01083046.1	1090	1428	+	339	0	0	0	0
NPIL_674581	BMAW01083046.1	1520	3120	+	1601	0	0	0	0
NPIL_674591	BMAW01083046.1	3360	3797	+	438	0	0	0	0
NPIL_674601	BMAW01083046.1	4743	5209	+	467	0	0	0	0
NPIL_674611	BMAW01083046.1	5261	5563	+	303	0	0	0	0
NPIL_674621	BMAW01083046.1	6460	6981	+	522	0	0	0	0
NPIL_674631	BMAW01083046.1	6987	7318	+	332	0	0	0	0
NPIL_313061	BMAW01083048.1	1621	1996	-	376	0	0	0	0
NPIL_694321	BMAW01083049.1	70996	72348	-	1353	0	0	0	0
NPIL_694331	BMAW01083049.1	251083	255630	-	4548	0	2	4	0
NPIL_694341	BMAW01083049.1	309780	312439	-	2660	0	0	0	0
NPIL_87621	BMAW01083052.1	132	1338	+	1207	0	0	2	1
NPIL_42861	BMAW01083053.1	373	735	+	363	0	0	0	0
NPIL_42871	BMAW01083053.1	842	2201	+	1360	0	0	0	0
NPIL_202901	BMAW01083056.1	1195	2006	-	812	0	0	2	0
NPIL_202911	BMAW01083056.1	2377	2745	-	369	0	1	6	1
NPIL_202921	BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1	10998;13645;16240;20236;22173;23554;29466;33688;33859;34086;34325;34680;39252;46142	11105;16065;17148;20376;22254;23672;33588;33765;33984;34217;34507;34727;39308;46203	+;+;+;+;+;+;+;+;+;+;+;+;+;+	8589	0	0	0	0
NPIL_202922	BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1;BMAW01083056.1	10998;13645;16240;20236;22173;23554;29466;33688;33859;34086;34325;34680;39252;39467	11105;16065;17148;20376;22254;23672;33588;33765;33984;34217;34507;34727;39308;39501	+;+;+;+;+;+;+;+;+;+;+;+;+;+	8562	0	0	0	0
NPIL_202931	BMAW01083056.1	56830	59921	-	3092	2	3	12	2
NPIL_202941	BMAW01083056.1	84522	90409	+	5888	42	20	23	10
NPIL_202951	BMAW01083056.1	96463	130434	+	33972	125	64	96	11
NPIL_202961	BMAW01083056.1	156314	166246	-	9933	8525	36952	83	71
NPIL_27321	BMAW01083057.1	4616	4870	-	255	0	0	0	0
NPIL_376291	BMAW01083072.1	5165	5249	-	85	0	0	0	0
NPIL_220001	BMAW01083082.1	2	184	+	183	0	0	0	0
NPIL_271001	BMAW01083090.1	14283	15152	-	870	0	0	2	0
NPIL_102181	BMAW01083097.1	17515	17886	-	372	0	0	0	0
NPIL_102191	BMAW01083097.1	18609	27974	+	9366	2	2	17	0
NPIL_698281	BMAW01083115.1	911	2317	+	1407	0	0	0	0
NPIL_613481	BMAW01083126.1	33	302	-	270	0	0	2	1
NPIL_613491	BMAW01083126.1	459	894	-	436	2	0	7	1
NPIL_613501	BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1	1816;3421;3603;7400;7632;8466;9165;10045;10637;10860;11517;12103;12352;12815;18893	1868;3524;3785;7553;7758;8612;9225;10154;10783;10940;11652;12202;12452;12976;20181	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2955	0	0	0	0
NPIL_613502	BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1;BMAW01083126.1	1816;3421;3603;7400;7632;8466;9165;10045;10637;10860;11517;12103;12352;12815;13267	1868;3524;3785;7553;7758;8612;9225;10154;10783;10940;11652;12202;12452;12976;13298	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1698	0	0	0	0
NPIL_613503	BMAW01083126.1;BMAW01083126.1	13316;18893	13337;20181	+;+	1311	0	0	0	0
NPIL_613511	BMAW01083126.1	24663	71464	-	46802	78	38	131	36
NPIL_613521	BMAW01083126.1	88671	93333	-	4663	92	15	22	8
NPIL_613531	BMAW01083126.1	103687	104118	+	432	3	0	3	2
NPIL_613541	BMAW01083126.1	106379	170658	-	64280	77	119	342	10
NPIL_613551	BMAW01083126.1	184895	185200	+	306	0	0	0	0
NPIL_613561	BMAW01083126.1	284028	284366	+	339	13	0	0	2
NPIL_613571	BMAW01083126.1	298020	298346	-	327	0	0	0	2
NPIL_613581	BMAW01083126.1	332754	333017	+	264	2	2	10	2
NPIL_613591	BMAW01083126.1	335461	335832	-	372	0	0	0	0
NPIL_613601	BMAW01083126.1	390155	391131	-	977	0	0	0	0
NPIL_613611	BMAW01083126.1	478686	478931	-	246	0	4	10	0
NPIL_613621	BMAW01083126.1	627297	628118	+	822	0	0	0	0
NPIL_613631	BMAW01083126.1	681732	682269	+	538	0	1	4	0
NPIL_613641	BMAW01083126.1	687003	688967	+	1965	0	0	4	0
NPIL_613651	BMAW01083126.1	730413	730670	-	258	0	0	0	0
NPIL_613661	BMAW01083126.1	754347	754655	+	309	0	0	0	0
NPIL_613671	BMAW01083126.1	876322	877989	-	1668	0	0	3	0
NPIL_613681	BMAW01083126.1	961141	962317	+	1177	0	5	12	0
NPIL_613691	BMAW01083126.1	1054969	1056003	+	1035	0	0	0	0
NPIL_233011	BMAW01083128.1	30953	31101	+	149	0	0	0	0
NPIL_447131	BMAW01083133.1	446	10202	+	9757	0	2	0	0
NPIL_489351	BMAW01083144.1	697	1002	-	306	0	0	0	0
NPIL_28061	BMAW01083148.1	571	864	-	294	0	0	1	1
NPIL_261681	BMAW01083149.1	749	961	+	213	0	0	0	0
NPIL_323941	BMAW01083150.1	983	1194	+	212	4	10	0	0
NPIL_367861	BMAW01083151.1	4365	7947	-	3583	0	0	0	0
NPIL_458641	BMAW01083156.1	3148	3522	+	375	0	0	0	0
NPIL_458651	BMAW01083156.1	5770	6495	+	726	0	0	0	0
NPIL_83911	BMAW01083157.1	1364	1750	-	387	0	0	0	0
NPIL_368641	BMAW01083158.1	7384	29850	-	22467	0	0	0	0
NPIL_585811	BMAW01083159.1	1892	10677	+	8786	7	44	27	18
NPIL_584231	BMAW01083162.1	557	16358	-	15802	0	0	0	0
NPIL_584241	BMAW01083162.1	46672	47397	-	726	0	0	0	0
NPIL_459761	BMAW01083165.1	140161	189909	-	49749	84	120	226	105
NPIL_459771	BMAW01083165.1	192993	193640	+	648	0	0	0	0
NPIL_459781	BMAW01083165.1	215589	224993	+	9405	0	0	14	0
NPIL_459791	BMAW01083165.1	257379	335438	-	78060	6	65	165	11
NPIL_222131	BMAW01083167.1	333	623	-	291	0	0	1	0
NPIL_144991	BMAW01083169.1	5767	7198	+	1432	0	0	0	0
NPIL_147661	BMAW01083173.1	1314	12984	-	11671	20	5	17	0
NPIL_221781	BMAW01083181.1	1381	3144	+	1764	0	0	0	0
NPIL_493501	BMAW01083183.1	1904	2638	+	735	0	18	71	2
NPIL_201721	BMAW01083189.1	151	1404	-	1254	0	0	0	0
NPIL_467091	BMAW01083192.1	2	3849	+	3848	2	0	10	0
NPIL_138331	BMAW01083201.1	10446	15406	+	4961	13	5	9	1
NPIL_138341	BMAW01083201.1	16863	17165	-	303	2	0	0	0
NPIL_349801	BMAW01083211.1	18370	18801	+	432	0	0	0	0
NPIL_349811	BMAW01083211.1	38466	39375	-	910	0	0	0	0
