Gene ID,protein_id,Preferred_Name,Pfam_Domains,sseqid,pident,evalue,bitscore,NPFM1,NPFM2,NPFM3,NPFM4,Protein Description
"NPIL_319941,",GFT33056.1,,DUF1758,7425.NV23901-PA,35.4,4.48e-10,63.2,,,,,"uncharacterized protein NPIL_319941, partial [Nephila pilipes]"
NPIL_319951,GFT33058.1,,"MULE,RVT_1",7029.ACYPI064419-PA,34.0,0.000624,47.8,0.0,0.0,0.0,0.0,hypothetical protein NPIL_319951 [Nephila pilipes]
,GFT33065.1,,Helicase_C,7460.GB47314-PA,60.2,2.42e-25,104.0,,,,,"probable ATP-dependent RNA helicase DDX17, partial [Nephila pilipes]"
,GFT33088.1,,"ADH_zinc_N,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,Thioesterase,ketoacyl-synt",126957.SMAR004463-PA,46.9,6.52e-17,83.2,,,,,fatty acid synthase [Nephila pilipes]
,GFT33090.1,,UPF0547,9713.XP_006729758.1,51.0,3.9399999999999996e-23,95.1,,,,,"planarian mariner-8 gene, partial [Nephila pilipes]"
NPIL_427661,GFT33091.1,,DUF4817,28377.ENSACAP00000022415,43.0,6.62e-31,119.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_427661 [Nephila pilipes]
,GFT33106.1,,"DUF1759,Peptidase_A17,rve",7425.NV17816-PA,49.1,4.92e-20,95.9,,,,,integrase catalytic domain-containing protein [Nephila pilipes]
,GFT33116.1,,"RVT_1,rve",7070.TC010212-PA,52.1,2.59e-126,401.0,,,,,retrovirus-related Pol polyprotein from transposon opus [Nephila pilipes]
,GFT33133.1,,Transposase_1,7029.ACYPI44937-PA,37.7,4.43e-70,231.0,,,,,putative mariner transposase [Nephila pilipes]
,GFT33143.1,,"CH,Filamin",6669.EFX86436,75.3,5.94e-40,149.0,,,,,"filamin-A, partial [Nephila pilipes]"
"NPIL_640111,",GFT33146.1,,"Helitron_like_N,PIF1",69319.XP_008549021.1,87.9,6.66e-246,712.0,,,,,"uncharacterized protein NPIL_640111, partial [Nephila pilipes]"
NPIL_640141,GFT33152.1,,"Myosin_TH1,Myosin_head",7091.BGIBMGA014236-TA,41.0,3.72e-14,77.8,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_640141 [Nephila pilipes]
,GFT33154.1,,LURAP,126957.SMAR011330-PA,56.1,2.6e-50,167.0,,,,,leucine repeat adapter protein 25 [Nephila pilipes]
NPIL_640171,GFT33157.1,G5I_10194,Dpy-30,103372.F4WW40,63.5,3.25e-18,80.5,2.85028691028824,1.65591964238082,0.278722914355832,4.72079427975523,uncharacterized protein NPIL_640171 [Nephila pilipes]
,GFT33158.1,L798_04462,Pkinase,136037.KDR03819,51.6,1.08e-100,314.0,,,,,nucleosomal histone kinase 1 [Nephila pilipes]
,GFT33159.1,L798_04462,Pkinase,136037.KDR03819,51.6,1.76e-102,319.0,,,,,nucleosomal histone kinase 1 [Nephila pilipes]
,GFT33164.1,NCAPG2,Condensin2nSMC,181119.XP_005528593.1,26.5,1.29e-17,94.4,,,,,condensin-2 complex subunit G2 [Nephila pilipes]
,GFT33167.1,,"DUF1759,Peptidase_A17,rve",7425.NV17816-PA,38.3,2.63e-16,81.3,,,,,integrase catalytic domain-containing protein [Nephila pilipes]
,GFT33169.1,,Prefoldin,10224.XP_002735303.1,54.2,4.26e-40,154.0,,,,,unconventional prefoldin RPB5 interactor [Nephila pilipes]
,GFT33170.1,,ubiquitin,71139.XP_010046715.1,84.2,1.75e-38,129.0,,,,,ubiquitin-60S ribosomal protein L40 [Nephila pilipes]
,GFT33176.1,LOC411720,PP2C,7460.GB49496-PA,50.2,1.47e-150,447.0,,,,,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 [Nephila pilipes]
,GFT33178.1,,Tctex-1,126957.SMAR003419-PA,75.5,1.0599999999999999e-52,168.0,,,,,dynein light chain Tctex-type 1 [Nephila pilipes]
NPIL_172281,GFT33180.1,,SEA,13249.RPRC014458-PA,35.3,1.14e-08,60.8,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_172281 [Nephila pilipes]
,GFT33182.1,LOC756887,TMEM220,7668.SPU_001135-tr,39.0,7.42e-15,75.1,,,,,transmembrane protein 220 [Nephila pilipes]
,GFT33184.1,,"CENP-B_N,DDE_1,HTH_Tnp_Tc5",8128.ENSONIP00000010132,61.8,1.16e-35,134.0,,,,,HTH CENPB-type domain-containing protein [Nephila pilipes]
,GFT33186.1,,DDE_1,176946.XP_007424618.1,70.2,8.219999999999999e-94,284.0,,,,,tigger transposable element-derived protein 1 [Nephila pilipes]
,GFT33187.1,,"DUF1759,Peptidase_A17,rve",7425.NV17816-PA,48.8,7.430000000000001e-33,132.0,,,,,pro-Pol polyprotein [Nephila pilipes]
,GFT33189.1,,"CENP-B_N,DDE_1,HTH_Tnp_Tc5",244447.XP_008336686.1,46.2,1.7e-17,84.0,,,,,tigger transposable element-derived protein 1 [Nephila pilipes]
,GFT33190.1,,"DUF1759,Peptidase_A17,rve",7425.NV17816-PA,42.0,3.04e-21,100.0,,,,,bel12-ag transposon polyprotein [Nephila pilipes]
,GFT33192.1,,DDE_Tnp_1_7,34740.HMEL002751-PA,29.2,3.51e-09,63.2,,,,,piggyBac transposable element-derived protein 4 [Nephila pilipes]
,GFT33194.1,KATNB1,"Katanin_con80,WD40",126957.SMAR004202-PA,50.1,6.4e-94,317.0,,,,,katanin p80 WD40 repeat-containing subunit B1 [Nephila pilipes]
,GFT33196.1,KATNB1,"Katanin_con80,WD40",126957.SMAR004202-PA,51.0,2.56e-87,299.0,,,,,katanin p80 WD40 repeat-containing subunit B1 [Nephila pilipes]
,GFT33197.1,,DUF4505,34740.HMEL002298-PA,62.1,8.83e-81,247.0,,,,,UPF0598 protein C8orf82 homolog [Nephila pilipes]
,GFT33225.1,,Methyltransf_11,10224.XP_006812667.1,55.0,5.94e-20,89.0,,,,,methyltransf_25 domain-containing protein [Nephila pilipes]
,GFT33266.1,,"I-set,Pkinase,RhoGEF,fn3",32264.tetur05g03810.1,39.4,2.2200000000000002e-194,644.0,,,,,obscurin [Nephila pilipes]
,GFT33310.1,,"TSP_1,VWA",7739.XP_002604277.1,45.1,1.07e-76,266.0,,,,,"hemicentin-1, partial [Nephila pilipes]"
,GFT33332.1,,"BRK,Bromodomain,FXa_inhibition,HSA,Helicase_C,Ldl_recept_a,Ldl_recept_b,QLQ,SNF2_N,SnAC",126957.SMAR004377-PA,45.8,4.4800000000000005e-110,382.0,,,,,low-density lipoprotein receptor [Nephila pilipes]
,GFT33333.1,,Ig_3,12957.ACEP18766-PA,49.0,7.99e-22,90.5,,,,,"down syndrome cell adhesion molecule-like protein Dscam2, partial [Nephila pilipes]"
NPIL_449822,GFT33335.1,,"BRK,Bromodomain,FXa_inhibition,HSA,Helicase_C,Ldl_recept_a,Ldl_recept_b,QLQ,SNF2_N,SnAC",126957.SMAR004377-PA,69.8,4.01e-30,122.0,0.0,0.0,0.427715337682224,0.0,uncharacterized protein NPIL_449822 [Nephila pilipes]
NPIL_449831,GFT33337.1,,"CENP-B_N,DDE_1,HTH_Tnp_Tc5",13616.ENSMODP00000040451,32.1,0.000939,44.3,0.0,0.0,0.0,0.0,hypothetical protein NPIL_449831 [Nephila pilipes]
NPIL_449851,GFT33339.1,,"DUF1758,DUF1759,Peptidase_A17,rve",7029.ACYPI48436-PA,31.7,5.42e-19,93.2,0.0,0.0,0.297290929779124,0.0,uncharacterized protein NPIL_449851 [Nephila pilipes]
,GFT33343.1,107368118,"ABC2_membrane_3,ABC_tran",32264.tetur25g01640.1,49.3,0.0,2135.0,,,,,phospholipid-transporting ATPase ABCA1 [Nephila pilipes]
,GFT33344.1,107368118,"ABC2_membrane_3,ABC_tran",32264.tetur25g01640.1,49.3,0.0,2135.0,,,,,phospholipid-transporting ATPase ABCA1 [Nephila pilipes]
NPIL_449901,GFT33345.1,,PDZ,126957.SMAR007230-PA,41.9,2.8500000000000004e-56,191.0,1.42100461855996,0.586506628786465,0.645877983414928,0.303583541558428,hypothetical protein NPIL_449901 [Nephila pilipes]
NPIL_449931,GFT33351.1,,"DUF1759,Peptidase_A17",7425.NV18936-PA,43.2,8.84e-05,46.6,0.0,0.0,0.585997737248775,0.0,hypothetical protein NPIL_449931 [Nephila pilipes]
,GFT33357.1,20216976,PWWP,6412.HelroP89429,59.1,4.56e-31,124.0,,,,,hepatoma-derived growth factor-related protein 2 [Nephila pilipes]
,GFT33359.1,L798_03468,"Foie-gras_1,Gryzun",136037.KDR21430,46.0,0.0,993.0,,,,,trafficking protein particle complex subunit 11 [Nephila pilipes]
,GFT33361.1,,Pkinase,3712.Bo1g047790.1,26.8,1.64e-08,66.2,,,,,protein kinase domain-containing protein [Nephila pilipes]
,GFT33363.1,L798_07635,"Neur_chan_LBD,Neur_chan_memb",136037.KDR24228,27.2,1.8600000000000002e-31,132.0,,,,,acetylcholine receptor subunit alpha-type des-2 [Nephila pilipes]
,GFT33373.1,GPR64,"7tm_2,GPS",8049.ENSGMOP00000002283,29.8,4.17e-05,50.1,,,,,"g-protein coupled receptor 126, partial [Nephila pilipes]"
NPIL_314971,GFT33407.1,GH15438,CRAL_TRIO,7222.FBpp0149344,33.3,0.000101,51.2,0.423988153845951,0.201761504683503,0.0140180174811273,0.0,hypothetical protein NPIL_314971 [Nephila pilipes]
,GFT33413.1,,ADIP,79684.XP_005357463.1,27.9,1.32e-17,95.1,,,,,afadin-and alpha-actinin-binding protein [Nephila pilipes]
,GFT33414.1,v1g240003,SPATA1_C,45351.EDO46192,37.7,1.12e-11,68.9,,,,,SPATA1_C domain-containing protein [Nephila pilipes]
,GFT33416.1,,Acyl_transf_3,32264.tetur12g03640.1,37.3,1.9300000000000002e-97,307.0,,,,,"o-acyltransferase like protein, partial [Nephila pilipes]"
,GFT33417.1,105617454,"AAA_34,Helicase_C_4",12957.ACEP23405-PA,64.1,0.0,1451.0,,,,,protein strawberry notch homolog 1 [Nephila pilipes]
,GFT33418.1,L798_01214,PTB,136037.KDR08458,42.4,2.6200000000000005e-200,606.0,,,,,epidermal growth factor receptor kinase substrate 8 [Nephila pilipes]
"NPIL_290491,",GFT33452.1,,DDE_3,6087.XP_004210400.1,40.0,3.85e-05,47.4,,,,,"hypothetical protein NPIL_290491, partial [Nephila pilipes]"
,GFT33454.1,L798_03599,"AAA_11,AAA_12,FHA",136037.KDR21193,31.6,1.21e-75,289.0,,,,,probable helicase senataxin [Nephila pilipes]
,GFT33455.1,,"AAA_11,AAA_12,FHA",32264.tetur40g00080.1,28.1,1.8400000000000002e-58,230.0,,,,,probable helicase senataxin [Nephila pilipes]
,GFT33457.1,107363029,Ank_2,32264.tetur09g05130.1,49.0,1.33e-174,520.0,,,,,protein phosphatase 1 regulatory subunit 16A [Nephila pilipes]
,GFT33458.1,osgep,Peptidase_M22,45351.EDO31427,78.6,1.36e-120,352.0,,,,,probable tRNA N6-adenosine threonylcarbamoyltransferase [Nephila pilipes]
,GFT33459.1,,Peptidase_M22,7739.XP_002592539.1,75.2,2.1400000000000002e-49,167.0,,,,,probable tRNA N6-adenosine threonylcarbamoyltransferase [Nephila pilipes]
,GFT33460.1,TTC32,TPR_1,52644.XP_010565040.1,46.3,2.71e-10,62.8,,,,,TPR_REGION domain-containing protein [Nephila pilipes]
,GFT33463.1,,Tmemb_18A,6669.EFX66204,70.4,2.46e-58,183.0,,,,,nuclear envelope phosphatase-regulatory subunit 1 [Nephila pilipes]
,GFT33465.1,,Med10,126957.SMAR000878-PA,78.6,2.55e-67,206.0,,,,,mediator of RNA polymerase II transcription subunit 10 [Nephila pilipes]
,GFT33466.1,,Tcf25,126957.SMAR000884-PA,53.9,2.73e-206,600.0,,,,,transcription factor 25 [Nephila pilipes]
,GFT33467.1,,"FDF,LSM14",126957.SMAR000885-PA,49.7,2.66e-74,245.0,,,,,protein LSM14 homolog A-A [Nephila pilipes]
,GFT33468.1,107359780,"TAF4,TAFH",32264.tetur04g07070.1,46.6,5.23e-143,450.0,,,,,transcription initiation factor TFIID subunit 4 [Nephila pilipes]
,GFT33471.1,gmds,GDP_Man_Dehyd,215358.XP_010745907.1,76.9,7.39e-206,576.0,,,,,"GDP-mannose 4,6 dehydratase [Nephila pilipes]"
,GFT33514.1,,rve,7425.NV25322-PA,49.7,1.23e-127,385.0,,,,,transposon Ty3-I Gag-Pol polyprotein [Nephila pilipes]
NPIL_555541,GFT33518.1,,"RVT_1,rve",7668.SPU_014999-tr,61.2,1.6499999999999999e-28,115.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_555541 [Nephila pilipes]
NPIL_555561,GFT33523.1,,rve,7029.ACYPI067567-PA,30.1,1.09e-25,115.0,0.274896726804753,0.256596650094078,0.552663731865297,0.312512469251323,uncharacterized protein NPIL_555561 [Nephila pilipes]
NPIL_522731,GFT33527.1,,Peptidase_A17,7029.ACYPI069033-PA,40.5,1.04e-17,85.1,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_522731 [Nephila pilipes]
,GFT33543.1,L798_14547,FAIM1,136037.KDR11480,62.6,9.49e-75,229.0,,,,,fas apoptotic inhibitory molecule 1 [Nephila pilipes]
,GFT33606.1,L798_14277,"Hormone_recep,zf-C4",136037.KDR23541,62.5,5.99e-174,501.0,,,,,probable nuclear hormone receptor HR3 [Nephila pilipes]
,GFT33608.1,,"BPL_C,BPL_LplA_LipB",10224.XP_002732728.1,33.7,4.3499999999999995e-90,303.0,,,,,biotin--protein ligase [Nephila pilipes]
,GFT33612.1,Dalk_5197,"HTH_Crp_2,cNMP_binding",439235.Dalk_5197,32.2,6.91e-06,55.1,,,,,cyclic nucleotide-binding domain-containing protein [Nephila pilipes]
,GFT33628.1,L798_03978,"Fer2_4,Molybdopterin,NADH-G_4Fe-4S_3,NADH_dhqG_C",136037.KDR21345,70.9,0.0,1019.0,,,,,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial [Nephila pilipes]"
,GFT33634.1,107361630,"Neur_chan_LBD,Neur_chan_memb",32264.tetur07g04510.1,50.9,6.49e-153,451.0,,,,,glutamate-gated chloride channel [Nephila pilipes]
,GFT33636.1,L798_02016,GCN5L1,136037.KDR22358,70.5,3.33e-51,166.0,,,,,biogenesis of lysosome-related organelles complex 1 subunit 1 [Nephila pilipes]
NPIL_552711,GFT33637.1,,Myb_DNA-binding,126957.SMAR008384-PA,40.0,1.34e-17,81.6,2.03044340900246,1.02660745533264,0.32810325179396,2.9382493190985,uncharacterized protein NPIL_552711 [Nephila pilipes]
,GFT33638.1,,Mago-bind,126957.SMAR013838-PA,47.8,6.14e-40,143.0,,,,,partner of Y14 and mago [Nephila pilipes]
,GFT33641.1,107365915,Ion_trans_2,32264.tetur16g00240.1,40.6,9.48e-103,322.0,,,,,potassium channel subfamily K member 18 [Nephila pilipes]
,GFT33642.1,AAEL014297,"EXS,SPX",7159.AAEL014297-PA,66.4,0.0,892.0,,,,,xenotropic and polytropic retrovirus receptor 1 [Nephila pilipes]
,GFT33645.1,,CAP,126957.SMAR008991-PA,43.4,7.31e-36,131.0,,,,,golgi-associated plant pathogenesis-related protein 1 [Nephila pilipes]
NPIL_552741,GFT33647.1,,ANAPC_CDC26,7739.XP_002590834.1,58.8,0.000852,42.7,0.36199623104389,0.390047020181807,0.518121373835668,0.451008511625085,hypothetical protein NPIL_552741 [Nephila pilipes]
,GFT33648.1,LOC550828,ELO,7460.GB54404-PA,52.0,1.31e-88,273.0,,,,,elongation of very long chain fatty acids protein AAEL008004 [Nephila pilipes]
,GFT33656.1,LOC661299,"DEP,Mem_trans",7070.TC015971-PA,36.0,2.4400000000000002e-145,457.0,,,,,integral membrane protein GPR155 [Nephila pilipes]
,GFT33661.1,6037262,HSP20,7176.CPIJ005641-PA,48.1,1.07e-45,155.0,,,,,protein lethal(2)essential for life [Nephila pilipes]
,GFT33664.1,8231377,HSP20,121225.PHUM080350-PA,50.0,1.0599999999999999e-34,128.0,,,,,protein lethal(2)essential for life [Nephila pilipes]
,GFT33666.1,,"RVT_1,rve",7070.TC010212-PA,47.7,2.53e-26,108.0,,,,,retrovirus-related Pol polyprotein from transposon 412 [Nephila pilipes]
,GFT33667.1,T01_13806,"DUF1758,DUF1759,Peptidase_A17,RVT_1",6334.EFV50150,34.7,2.37e-16,85.1,,,,,pro-Pol polyprotein [Nephila pilipes]
,GFT33671.1,L798_13918,Mob1_phocein,136037.KDR12163,87.3,1.66e-139,396.0,,,,,MOB-like protein phocein [Nephila pilipes]
NPIL_552821,GFT33673.1,L798_00628,"F-box-like,WD40",136037.KDR22788,30.1,6.24e-70,233.0,0.0815382280324681,0.547185983369424,0.635881305215392,0.125525271723881,hypothetical protein NPIL_552821 [Nephila pilipes]
,GFT33675.1,,Bestrophin,69319.XP_008545315.1,48.8,6.49e-67,244.0,,,,,bestrophin-1 [Nephila pilipes]
,GFT33677.1,L798_14629,Bestrophin,136037.KDR11045,63.3,2.72e-16,80.1,,,,,bestrophin homolog [Nephila pilipes]
,GFT33679.1,ISY1,Isy1,7897.ENSLACP00000005049,66.6,4.15e-121,354.0,,,,,pre-mRNA-splicing factor ISY1 homolog [Nephila pilipes]
,GFT33681.1,,"Cupin_8,PHD",126957.SMAR005173-PA,44.9,3.81e-226,668.0,,,,,histone lysine demethylase PHF8 [Nephila pilipes]
,GFT33683.1,,"BSD,PH_TFIIH",126957.SMAR014461-PA,51.8,1.15e-187,545.0,,,,,general transcription factor IIH subunit 1 [Nephila pilipes]
,GFT33686.1,FAM86A,"FAM86,Methyltransf_16",8479.XP_005295311.1,34.9,1.28e-49,175.0,,,,,protein-lysine N-methyltransferase EEF2KMT [Nephila pilipes]
,GFT33688.1,,"Peptidase_M16,Peptidase_M16_C",7739.XP_002599710.1,53.1,1.44e-182,526.0,,,,,"cytochrome b-c1 complex subunit 1, mitochondrial [Nephila pilipes]"
NPIL_552911,GFT33692.1,AND_002960,zf-H2C2_5,43151.ADAC002960-PA,55.2,0.000974,43.9,0.40394466336062,0.222804500968986,0.127710380151263,1.49246109031154,hypothetical protein NPIL_552911 [Nephila pilipes]
NPIL_266021,GFT33709.1,,7tm_2,32264.tetur317g00010.1,67.9,1.3e-13,73.6,0.0,0.0,0.133302702427771,0.0,uncharacterized protein NPIL_266021 [Nephila pilipes]
,GFT33728.1,,rve,8081.XP_008418940.1,49.7,2.26e-47,166.0,,,,,"integrase catalytic domain-containing protein, partial [Nephila pilipes]"
"NPIL_466361,",GFT33747.1,,"DUF1759,Peptidase_A17,rve",7425.NV17816-PA,39.1,2.22e-37,155.0,,,,,"uncharacterized protein NPIL_466361, partial [Nephila pilipes]"
,GFT33790.1,,"DDE_3,HTH_Tnp_Tc3_2",8364.ENSXETP00000063303,53.5,1.98e-06,50.8,,,,,transposase domain containing protein [Nephila pilipes]
,GFT33814.1,,"AC_N,Guanylate_cyc",32264.tetur22g00100.1,67.1,2.2700000000000002e-27,110.0,,,,,"adenylate cyclase type 2, partial [Nephila pilipes]"
,GFT33832.1,,"EF-hand_8,Ins145_P3_rec,Ion_trans,MIR,RIH_assoc,RR_TM4-6,RYDR_ITPR,RyR,SPRY",6669.EFX89429,76.2,2.54e-59,204.0,,,,,ryanodine receptor [Nephila pilipes]
,GFT33840.1,,"DUF1759,Peptidase_A17",7425.NV18936-PA,48.5,2.1e-17,86.7,,,,,integrase catalytic domain-containing protein [Nephila pilipes]
,GFT33842.1,,HLH,126957.SMAR013893-PA,50.0,5.83e-07,57.8,,,,,basic helix-loop-helix domain-containing protein USF3 [Nephila pilipes]
,GFT33844.1,,"Ig_3,fn3",32264.tetur06g05950.1,64.1,0.0,1137.0,,,,,protein turtle [Nephila pilipes]
,GFT33848.1,,"Asp_protease_2,RVT_1",7029.ACYPI56762-PA,38.3,2.3e-11,68.9,,,,,retrovirus-related Pol polyprotein from transposon 17.6 [Nephila pilipes]
,GFT33850.1,L798_03708,Nucleoside_tran,136037.KDR21110,42.4,3.6599999999999997e-92,296.0,,,,,equilibrative nucleoside transporter 1 [Nephila pilipes]
,GFT33853.1,ELP4,PAXNEB,9694.XP_007082086.1,41.0,4.6999999999999995e-82,263.0,,,,,elongator complex protein 4 [Nephila pilipes]
"NPIL_651801,",GFT33865.1,,MFS_1_like,126957.SMAR002783-PA,24.1,1.5100000000000002e-21,106.0,,,,,"hypothetical protein NPIL_651801, partial [Nephila pilipes]"
,GFT33870.1,,"RVP,RVT_1,rve",7425.NV18758-PA,53.0,3.12e-47,175.0,,,,,"retrovirus-related Pol polyprotein from transposon opus, partial [Nephila pilipes]"
,GFT33871.1,,"RVT_1,rve",7029.ACYPI004927-PA,57.6,9.07e-48,172.0,,,,,retrovirus-related Pol polyprotein from transposon opus [Nephila pilipes]
,GFT33879.1,,Sugar_tr,7739.XP_002592667.1,37.8,9.519999999999999e-94,309.0,,,,,organic cation transporter protein [Nephila pilipes]
,GFT33881.1,107371461,Sugar_tr,32264.tetur02g02460.1,36.0,1.8200000000000002e-103,327.0,,,,,organic cation transporter protein [Nephila pilipes]
,GFT33883.1,,WD40,65489.OBART11G21870.1,43.0,9.92e-18,82.4,,,,,WD repeat domain 61 [Nephila pilipes]
NPIL_8371,GFT33910.1,,"FAM110_C,FAM110_N",126957.SMAR005383-PA,29.2,1.42e-17,92.8,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_8371 [Nephila pilipes]
,GFT33918.1,,Chitin_bind_4,32264.tetur01g15250.1,41.0,9.58e-15,77.8,,,,,cuticle protein 10.9 [Nephila pilipes]
,GFT33928.1,,TPR_8,126957.SMAR005275-PA,63.6,1.2800000000000001e-64,221.0,,,,,"tetratricopeptide repeat protein 21B, partial [Nephila pilipes]"
,GFT33934.1,,DDE_Tnp_1_7,34740.HMEL002751-PA,31.2,2.69e-10,65.5,,,,,piggyBac transposable element-derived protein 4 [Nephila pilipes]
NPIL_645991,GFT33938.1,,I-set,126957.SMAR003776-PA,34.9,3.7e-83,286.0,0.0,0.0944251295833731,0.221744358172302,0.0172502429754969,uncharacterized protein NPIL_645991 [Nephila pilipes]
NPIL_646021,GFT33944.1,,I-set,126957.SMAR003776-PA,24.7,2.0900000000000002e-21,108.0,0.0016762380334716,0.0739652556260111,0.148387748250846,0.0123864492836406,uncharacterized protein NPIL_646021 [Nephila pilipes]
,GFT33945.1,,"A2M,A2M_N,A2M_N_2,A2M_comp,A2M_recep,SCAN,Thiol-ester_cl",176946.XP_007437425.1,39.5,2.71e-10,62.8,,,,,"alpha-1-macroglobulin, partial [Nephila pilipes]"
,GFT33960.1,20211702,"F-box-like,Sec7",6412.HelroP190783,55.6,2.62e-106,318.0,,,,,f-box only protein 8 [Nephila pilipes]
,GFT33965.1,20211702,"F-box-like,Sec7",6412.HelroP190783,59.5,9.429999999999999e-104,310.0,,,,,f-box only protein 8 [Nephila pilipes]
,GFT33982.1,,"DUF1759,Peptidase_A17,rve",7425.NV17816-PA,32.9,8.24e-31,133.0,,,,,"putative RNA-directed DNA polymerase from transposon X-element, partial [Nephila pilipes]"
"NPIL_424381,",GFT33997.1,,"Peptidase_M13,Peptidase_M13_N",244447.XP_008307803.1,49.1,1e-10,62.4,,,,,"hypothetical protein NPIL_424381, partial [Nephila pilipes]"
,GFT34055.1,,"DUF1759,Peptidase_A17",7425.NV18936-PA,43.8,1.02e-12,69.7,,,,,"integrase_H2C2 domain-containing protein, partial [Nephila pilipes]"
"NPIL_172871,",GFT34057.1,,"DUF1759,Peptidase_A17,rve",7425.NV17816-PA,38.7,1.39e-35,150.0,,,,,"uncharacterized protein NPIL_172871, partial [Nephila pilipes]"
,GFT34058.1,,"Peptidase_A17,rve",69319.XP_008557127.1,33.9,2e-16,82.0,,,,,integrase_H2C2 domain-containing protein [Nephila pilipes]
NPIL_577091,GFT34086.1,,MULE,7029.ACYPI46144-PA,39.3,3.08e-13,69.3,0.0,0.0,0.0,0.0,hypothetical protein NPIL_577091 [Nephila pilipes]
,GFT34088.1,,"RVT_1,rve",7070.TC001824-PA,36.6,7.27e-41,157.0,,,,,transposon Ty3-I Gag-Pol polyprotein [Nephila pilipes]
NPIL_577181,GFT34104.1,PTSG_02184,zf-RING_2,946362.XP_004996670.1,49.1,1.69e-05,54.7,0.0,0.0,0.218798275051963,0.0,hypothetical protein NPIL_577181 [Nephila pilipes]
NPIL_577201,GFT34108.1,,zf-RING_2,90675.XP_010480409.1,51.0,7.62e-05,49.7,0.0,0.0,0.0,0.0,hypothetical protein NPIL_577201 [Nephila pilipes]
,GFT34115.1,,Peptidase_M24,126957.SMAR012763-PA,62.2,7.8e-98,292.0,,,,,"methionine aminopeptidase 1D, mitochondrial [Nephila pilipes]"
,GFT34123.1,L798_08078,C2,136037.KDR17974,38.0,8.179999999999999e-152,473.0,,,,,coiled-coil and C2 domain-containing protein 1-like [Nephila pilipes]
,GFT34128.1,107367871,zf-RING_2,32264.tetur24g00580.1,52.6,3.91e-112,342.0,,,,,protein goliath [Nephila pilipes]
,GFT34132.1,,"RVT_1,rve",7070.TC005268-PA,35.5,2.56e-38,155.0,,,,,transposon Tf2-11 polyprotein [Nephila pilipes]
NPIL_577321,GFT34141.1,,"ARID,BAF250_C",126957.SMAR006121-PA,36.0,1.1899999999999999e-216,695.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_577321 [Nephila pilipes]
,GFT34143.1,,DUF1759,7425.NV30946-PA,44.5,1.29e-30,120.0,,,,,DUF1758 domain-containing protein [Nephila pilipes]
NPIL_577322,GFT34145.1,,"ARID,BAF250_C",126957.SMAR006121-PA,35.6,3.58e-212,683.0,0.0,0.0,0.0,0.0,hypothetical protein NPIL_577322 [Nephila pilipes]
,GFT34148.1,,Peptidase_M28,32264.tetur03g01140.1,39.4,1.44e-62,221.0,,,,,peptidase_M28 domain-containing protein [Nephila pilipes]
,GFT34149.1,,"Ank_2,Pre-SET,SET",126957.SMAR005069-PA,41.3,3.48e-167,529.0,,,,,histone-lysine N-methyltransferase EHMT2 [Nephila pilipes]
,GFT34150.1,,Torsin,7739.XP_002595285.1,48.2,4.45e-98,299.0,,,,,torsin-1A [Nephila pilipes]
NPIL_549081,GFT34152.1,L798_09414,"HARP,Helicase_C,SNF2_N",136037.KDR24079,53.8,3.83e-209,609.0,3.16413286232999,0.323193811639066,0.345805619512081,4.00510422745303,hypothetical protein NPIL_549081 [Nephila pilipes]
,GFT34155.1,,MFS_1,126957.SMAR011781-PA,46.2,3.97e-39,148.0,,,,,major facilitator superfamily domain-containing protein 4A [Nephila pilipes]
NPIL_693761,GFT34156.1,,"Lig_chan,Lig_chan-Glu_bd",7739.XP_002602490.1,23.4,1.01e-08,65.1,0.0,0.0287521441975225,0.104377002773794,0.0722238379799421,uncharacterized protein NPIL_693761 [Nephila pilipes]
,GFT34161.1,,MFS_1,126957.SMAR011781-PA,43.0,4.7299999999999994e-42,157.0,,,,,major facilitator superfamily domain-containing protein 4A [Nephila pilipes]
,GFT34163.1,20203332,MFS_1,6412.HelroP170736,47.6,1.35e-39,150.0,,,,,major facilitator superfamily domain-containing protein 4A [Nephila pilipes]
,GFT34165.1,L798_01150,Rhodanese,136037.KDR09024,51.5,6.31e-83,270.0,,,,,m-phase inducer phosphatase [Nephila pilipes]
,GFT34166.1,L798_11888,BORCS6,136037.KDR14297,59.9,4.83e-56,194.0,,,,,BLOC-1-related complex subunit 6 [Nephila pilipes]
,GFT34168.1,API5,API5,28377.ENSACAP00000015432,45.6,9.38e-131,397.0,,,,,apoptosis inhibitor 5 [Nephila pilipes]
,GFT34170.1,,"RVT_1,rve",7070.TC016332-PA,51.7,4.34e-49,179.0,,,,,retrovirus-related Pol polyprotein from transposon 17.6 [Nephila pilipes]
