Gene ID,protein_id,Preferred_Name,KEGG_KO,KEGG_Pathway,KEGG_Module,KEGG_EC,KEGG_BRITE,sseqid,pident,evalue,bitscore,NPFM1,NPFM2,NPFM3,NPFM4,Protein Description,GO_Terms,eggNOG_OGs
,GFT57150.1,AAEL003955,ko:K17586,,,,"ko01009,ko00000",7159.AAEL003955-PA,35.9,4.93e-19,101.0,,,,,PHD and RING finger domain-containing protein 1 [Nephila pilipes],,"38EN7@33154,3BF52@33208,3CUF1@33213,3SJS3@50557,41TIW@6656,44YCI@7147,45FAR@7148,KOG0825@1,KOG0825@2759"
,GFT57153.1,AAEL003955,ko:K17586,,,,"ko01009,ko00000",7159.AAEL003955-PA,35.9,1.21e-19,101.0,,,,,PHD and RING finger domain-containing protein 1 [Nephila pilipes],,"38EN7@33154,3BF52@33208,3CUF1@33213,3SJS3@50557,41TIW@6656,44YCI@7147,45FAR@7148,KOG0825@1,KOG0825@2759"
NPIL_427811,GFT57157.1,,,,,,,400682.PAC_15727132,58.3,3.5300000000000003e-31,119.0,0.0,0.68303322081831,0.0,0.0,uncharacterized protein NPIL_427811 [Nephila pilipes],,"2AHQR@1,2RZ2Y@2759,3A29J@33154"
NPIL_427821,GFT57159.1,GH20127,ko:K15149,,,,"ko03021,ko00000",7222.FBpp0154033,40.7,2.2e-09,56.6,0.303681212269888,0.499666997460209,0.59451050765941,0.627568295786439,uncharacterized protein NPIL_427821 [Nephila pilipes],,"2CZSY@1,2SBJC@2759,3AC56@33154,3BVEZ@33208,3DCBN@33213,3SQ00@50557,421JD@6656,454NI@7147,45UFW@7214"
NPIL_584961,GFT57167.1,,,,,,,106582.XP_004561197.1,50.6,2.75e-14,75.9,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_584961 [Nephila pilipes],,"39T7X@33154,3BMIS@33208,3D0N8@33213,487P6@7711,4907D@7742,4A89K@7898,KOG3105@1,KOG3105@2759"
,GFT57187.1,,ko:K19374,,,,"ko00000,ko03110",7070.TC015709-PA,60.3,1.99e-19,90.1,,,,,dnaJ subfamily B member 12 [Nephila pilipes],,"39MRK@33154,3CPBG@33208,3DAYP@33213,3SNG1@50557,420G0@6656,COG0484@1,KOG0714@2759"
,GFT57189.1,6032744,ko:K19374,,,,"ko00000,ko03110",7176.CPIJ001392-PA,56.9,6.56e-17,82.0,,,,,chaperone protein dnaJ 1 [Nephila pilipes],,"39MRK@33154,3CPBG@33208,3DAYP@33213,3SNG1@50557,420G0@6656,453D1@7147,45HXS@7148,COG0484@1,KOG0714@2759"
,GFT57228.1,GJ12940,ko:K01835,"ko00500,map01110,map00230,ko00520,ko00521,ko00030,ko01130,ko00052,ko00230,ko00010,ko01110,map01100,map01120,map00521,map00520,map00052,map00010,map00500,ko01120,map00030,ko01100,map01130",M00549,5.4.2.2,"ko01000,ko00001,ko00000,ko00002",7244.FBpp0227357,63.1,3.2e-28,113.0,,,,,"phosphoglucomutase, partial [Nephila pilipes]",,"38BW9@33154,3BG51@33208,3CV12@33213,3SGY2@50557,41V70@6656,44X8U@7147,45NGW@7214,COG0033@1,KOG0625@2759"
NPIL_589481,GFT57240.1,,,,,,,13249.RPRC008011-PA,33.7,3.87e-11,66.2,0.0,0.0,0.396190502036323,0.0,uncharacterized protein NPIL_589481 [Nephila pilipes],,"2D8VH@1,2TBP9@2759,396Z7@33154,3CBAK@33208,3DSJR@33213,3SSK5@50557,428P3@6656"
,GFT57249.1,,,,,,,10224.XP_002734701.1,47.1,2.5e-13,73.6,,,,,neuronal acetylcholine receptor subunit alpha-7 [Nephila pilipes],,"38DW9@33154,3BGRM@33208,3CRRD@33213,KOG3645@1,KOG3645@2759"
,GFT57254.1,,,,,,,35128.Thaps3154,30.9,3.94e-05,55.5,,,,,HSF_DOMAIN domain-containing protein [Nephila pilipes],,"2XGQD@2836,COG5169@1,KOG0627@2759"
,GFT57258.1,,,,,,,10224.XP_002734701.1,47.1,2.5e-13,73.6,,,,,neuronal acetylcholine receptor subunit alpha-7 [Nephila pilipes],,"38DW9@33154,3BGRM@33208,3CRRD@33213,KOG3645@1,KOG3645@2759"
,GFT57268.1,,,,,,,7070.TC001735-PA,44.6,3.08e-10,71.2,,,,,retrovirus-related Pol polyprotein from transposon 17.6 [Nephila pilipes],,"38F42@33154,3CNFK@33208,3E4K9@33213,COG2801@1,KOG0017@2759"
,GFT57273.1,,,,,,,6669.EFX88840,58.8,8.35e-19,87.4,,,,,vigilin [Nephila pilipes],,"38D8R@33154,3BFE4@33208,3CSZ5@33213,41VST@6656,KOG2208@1,KOG2208@2759"
,GFT57278.1,,,,,,,8090.ENSORLP00000000795,52.4,1.3599999999999998e-52,176.0,,,,,transmembrane protein 65 [Nephila pilipes],,"38CNT@33154,3BJAI@33208,3CSC7@33213,485KI@7711,4972J@7742,49UN3@7898,KOG4619@1,KOG4619@2759"
NPIL_666111,GFT57280.1,,,,,,,7425.NV17816-PA,53.1,9.26e-26,112.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_666111 [Nephila pilipes],,"2CMP4@1,2QR56@2759,39VQX@33154,3BR69@33208,3D755@33213,3T012@50557,4230R@6656,46MK3@7399"
,GFT57281.1,,,,,,,7070.TC001735-PA,33.9,1.03e-14,77.0,,,,,retrovirus-related Pol polyprotein from transposon 17.6 [Nephila pilipes],,"38F42@33154,3CNFK@33208,3E4K9@33213,COG2801@1,KOG0017@2759"
,GFT57283.1,,,,,,,13249.RPRC010827-PA,78.8,5.39e-89,263.0,,,,,UPF0047 protein YjbQ [Nephila pilipes],,"38FBH@33154,3BJRU@33208,3D72H@33213,3E8TM@33342,3SJBU@50557,41YXC@6656,COG0432@1,KOG3267@2759"
,GFT57284.1,,,,,,,10224.XP_006816608.1,40.3,7.23e-88,306.0,,,,,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1, partial [Nephila pilipes]",,"3AFXK@33154,3BWT6@33208,3DFC7@33213,KOG1217@1,KOG1217@2759,KOG1218@1,KOG1218@2759"
,GFT57285.1,,,,,,,8364.ENSXETP00000018035,33.8,1.75e-10,67.4,,,,,putative ferric-chelate reductase 1 [Nephila pilipes],,"38G7Z@33154,3BBB1@33208,3CXWM@33213,4816X@7711,498CU@7742,KOG4293@1,KOG4293@2759"
,GFT57286.1,,ko:K00501,"map01100,map05012,ko00950,map00350,ko05031,ko05030,ko01100,ko04917,ko00790,map05031,map00950,ko05012,ko04728,map00790,map04728,map05034,ko05034,map05030,ko00350,map04917",M00042,1.14.16.2,"ko01000,ko00001,ko00000,ko00002",32264.tetur04g06510.1,52.7,1.48e-171,501.0,,,,,tyrosine 3-monooxygenase [Nephila pilipes],,"3953T@33154,3BFSA@33208,3CSQA@33213,41USA@6656,COG3186@1,KOG3820@2759"
,GFT57287.1,,ko:K00501,"map01100,map05012,ko00950,map00350,ko05031,ko05030,ko01100,ko04917,ko00790,map05031,map00950,ko05012,ko04728,map00790,map04728,map05034,ko05034,map05030,ko00350,map04917",M00042,1.14.16.2,"ko01000,ko00001,ko00000,ko00002",32264.tetur04g06510.1,52.7,2.4799999999999998e-171,500.0,,,,,tyrosine 3-monooxygenase [Nephila pilipes],,"3953T@33154,3BFSA@33208,3CSQA@33213,41USA@6656,COG3186@1,KOG3820@2759"
,GFT57348.1,,,,,,,7029.ACYPI083390-PA,50.1,1.15e-104,321.0,,,,,"protein ZBED8, partial [Nephila pilipes]",,"2CN11@1,2QT83@2759,38D3X@33154,3BDRF@33208,3CX54@33213,3SIMU@50557,41XCG@6656"
,GFT57353.1,,,,,,,7029.ACYPI31612-PA,51.3,1.84e-24,102.0,,,,,SCAN domain-containing protein 3 [Nephila pilipes],,"2CN11@1,2QT83@2759,38D3X@33154,3BDRF@33208,3CX54@33213,3SIMU@50557,41XCG@6656"
,GFT57355.1,,,,,,,7029.ACYPI53720-PA,52.0,8.96e-16,77.0,,,,,SCAN domain-containing protein 3 [Nephila pilipes],,"2CN11@1,2QT83@2759,38D3X@33154"
,GFT57358.1,107363019,,,,,,32264.tetur09g06440.1,54.8,1.69e-186,566.0,,,,,nephrin [Nephila pilipes],,"39SG7@33154,3BCU0@33208,3D0EA@33213,41TNB@6656,KOG3515@1,KOG3515@2759"
,GFT57363.1,,,,,,,126957.SMAR009245-PA,43.1,1.2000000000000001e-164,494.0,,,,,hemocyanin F chain [Nephila pilipes],,"2C4CE@1,2QQCG@2759,38KT1@33154,3BEKJ@33208,3D0TP@33213,41Y5K@6656"
,GFT57364.1,LOC593392,,,,,,7668.SPU_018065-tr,45.0,1.9199999999999998e-81,269.0,,,,,WD repeat-containing protein 76 [Nephila pilipes],,"38E0S@33154,3BGHI@33208,3D2B4@33213,KOG4328@1,KOG4328@2759"
,GFT57366.1,,,,,,,126957.SMAR009245-PA,36.5,2.29e-120,377.0,,,,,hemocyanin F chain [Nephila pilipes],,"2C4CE@1,2QQCG@2759,38KT1@33154,3BEKJ@33208,3D0TP@33213,41Y5K@6656"
,GFT57367.1,LOC593392,,,,,,7668.SPU_018065-tr,42.3,1.17e-73,248.0,,,,,WD repeat-containing protein 76 [Nephila pilipes],,"38E0S@33154,3BGHI@33208,3D2B4@33213,KOG4328@1,KOG4328@2759"
,GFT57369.1,,,,,,,126957.SMAR009245-PA,41.2,7.47e-159,479.0,,,,,hemocyanin F chain [Nephila pilipes],,"2C4CE@1,2QQCG@2759,38KT1@33154,3BEKJ@33208,3D0TP@33213,41Y5K@6656"
,GFT57370.1,T01_7123,,,,,,6334.EFV50902,32.5,2.82e-17,85.9,,,,,retrovirus-related Pol polyprotein from transposon opus [Nephila pilipes],,"38F42@33154,3BI8I@33208,3D5CW@33213,COG2801@1,KOG0017@2759"
,GFT57372.1,,,,,,,126957.SMAR009245-PA,42.9,2.7700000000000002e-161,486.0,,,,,hemocyanin F chain [Nephila pilipes],,"2C4CE@1,2QQCG@2759,38KT1@33154,3BEKJ@33208,3D0TP@33213,41Y5K@6656"
,GFT57373.1,,,,,,,7070.TC010212-PA,56.0,1.62e-57,203.0,,,,,retrovirus-related Pol polyprotein from transposon opus [Nephila pilipes],,"38F42@33154,3BI8I@33208,3D5CW@33213,3SQKC@50557,4224Q@6656,COG2801@1,KOG0017@2759"
,GFT57376.1,,,,,,,7070.TC016155-PA,34.3,4.28e-21,99.8,,,,,DUF1758 domain-containing protein [Nephila pilipes],,"39TC6@33154,3BHT2@33208,3D2MB@33213,COG2801@1,KOG0017@2759"
,GFT57379.1,EARS2,ko:K01885,"map01100,map01110,map01120,ko00860,ko01110,ko01100,map00860,ko00970,ko01120,map00970","M00360,M00359,M00121",6.1.1.17,"ko00000,ko01000,ko01007,ko02048,ko00001,ko03016,ko00002",13616.ENSMODP00000008359,48.1,2.2399999999999998e-150,447.0,,,,,"probable glutamate--tRNA ligase, mitochondrial [Nephila pilipes]",,"38CS1@33154,3B9AD@33208,3D01P@33213,3JAPA@40674,48BWC@7711,492D4@7742,4K2TP@9263,COG0008@1,KOG1149@2759"
,GFT57383.1,,,,,,,126957.SMAR007416-PA,35.5,4.2e-105,338.0,,,,,f-box only protein 30 [Nephila pilipes],,"28KWN@1,2QTD9@2759,39RUR@33154,3BFCB@33208,3CVKE@33213,41Y1U@6656"
,GFT57385.1,,ko:K16747,,,,"ko03036,ko00000",10224.XP_006811161.1,60.4,5.02e-296,832.0,,,,,"bardet-Biedl syndrome 2 protein homolog, partial [Nephila pilipes]",,"2C0K6@1,2QPWU@2759,38CFK@33154,3BA3E@33208,3CWRC@33213"
,GFT57424.1,GL14796,,,,,,7234.FBpp0178903,35.7,8.02e-12,69.7,,,,,"DUF5641 domain-containing protein, partial [Nephila pilipes]",,"2EQ07@1,2ST3R@2759"
,GFT57425.1,,,,,,,5679.XP_010699799.1,44.2,1.35e-36,137.0,,,,,parkin coregulated gene protein homolog [Nephila pilipes],,"3XU1A@5653,KOG3961@1,KOG3961@2759"
,GFT57443.1,,,,,,,132113.XP_003488954.1,51.4,1.32e-27,117.0,,,,,chitin-binding type-2 domain-containing protein [Nephila pilipes],,"2CXUB@1,2RZTR@2759,3A1P0@33154,3BRAS@33208,3D79V@33213,3SMMR@50557,41ZDE@6656,46M6V@7399"
,GFT57464.1,,,,,,,7029.ACYPI24874-PA,40.1,2.1199999999999998e-53,192.0,,,,,"retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM, partial [Nephila pilipes]",,"39N4Q@33154,3BSEH@33208,3CWPW@33213,420YR@6656,KOG1075@1,KOG1075@2759"
,GFT57517.1,EH28_03781,,,,,,215358.XP_010729224.1,50.4,5.250000000000001e-37,134.0,,,,,zinc metalloproteinase nas-13 [Nephila pilipes],,"3AIGV@33154,3BX5J@33208,3D6XN@33213,48IVQ@7711,49FPF@7742,4A6U6@7898,KOG3714@1,KOG3714@2759"
"NPIL_134541,",GFT57521.1,,,,,,,126957.SMAR005763-PA,26.9,0.000135,52.0,,,,,"uncharacterized protein NPIL_134541, partial [Nephila pilipes]",,"2E4J5@1,2SBF2@2759,3A9AV@33154,3BV5C@33208,3DAWC@33213"
,GFT57523.1,,,,,,,126957.SMAR011878-PA,71.2,1.45e-24,100.0,,,,,calmodulin [Nephila pilipes],,"39WTA@33154,3BPA6@33208,3D49D@33213,41Y9M@6656,COG5126@1,KOG0027@2759"
NPIL_651281,GFT57526.1,,,,,,,126957.SMAR014918-PA,82.1,7.12e-08,55.5,0.0,0.0,0.0,0.0,hypothetical protein NPIL_651281 [Nephila pilipes],,"38CGX@33154,3B994@33208,3CRWG@33213,41XKG@6656,COG0530@1,KOG1307@2759"
NPIL_651301,GFT57530.1,SLC24A2,ko:K13750,,,,"ko02000,ko00000",9597.XP_003822685.1,51.0,9.58e-10,67.0,0.0117161004918104,0.148632235262748,0.325964333584988,0.0,hypothetical protein NPIL_651301 [Nephila pilipes],,"35AYS@314146,38CGX@33154,3B994@33208,3CRWG@33213,3JBXM@40674,485DI@7711,4912V@7742,4M5SV@9443,4N25U@9604,COG0530@1,KOG1307@2759"
"NPIL_212071,",GFT57566.1,,ko:K19919,,,,"ko04131,ko00000",6669.EFX87811,56.7,5.21e-07,50.8,,,,,"hypothetical protein NPIL_212071, partial [Nephila pilipes]",,"39U9X@33154,3BHZ2@33208,3CXDK@33213,41ZTS@6656,COG2340@1,KOG3017@2759"
,GFT57614.1,,,,,,,7668.SPU_021004-tr,51.0,2.4000000000000004e-27,109.0,,,,,e1A binding protein p300 a [Nephila pilipes],,"COG5076@1,KOG1778@2759"
,GFT57617.1,Nep2,,,,,,7460.GB52025-PA,33.1,2.29e-126,401.0,,,,,endothelin-converting enzyme homolog [Nephila pilipes],,"38BNF@33154,3B9I2@33208,3CW8Q@33213,3SIZ8@50557,41UAE@6656,46F7G@7399,COG3590@1,KOG3624@2759"
,GFT57642.1,,,,,,,69319.XP_008543663.1,27.3,2.64e-21,99.4,,,,,"reverse transcriptase domain-containing protein, partial [Nephila pilipes]",,"39TC6@33154,3BHT2@33208,3D2MB@33213,3SQJD@50557,41VKT@6656,46JND@7399,COG2801@1,KOG0017@2759"
,GFT57661.1,107371307,ko:K04441,"map04139,ko04380,ko04068,ko04657,ko04658,ko04659,map04622,map04620,map04621,map04624,map04926,ko04714,ko04917,map04550,map05132,ko04071,ko04668,ko04664,ko04660,map05120,ko04370,map05140,ko05120,map05142,map04657,map05145,map04015,map04659,map04658,map04011,map04010,map04013,ko04670,map05131,map05133,map04728,map04723,map04722,map05152,map04664,map04660,ko04912,map04261,ko05132,ko05133,map04668,ko04914,map04068,map01522,map05418,ko04620,ko05131,ko04218,map04714,ko05205,ko04212,map05167,map05164,map05160,ko05142,ko05140,ko05145,map05169,map04370,map04071,ko04261,ko04750,map05014,map04380,ko04611,ko05014,ko05152,ko04139,ko04621,map04670,map04912,ko04622,map04914,ko04624,map04917,map04750,map04218,map04212,ko05418,ko01522,ko04933,ko04728,ko05160,map05205,ko04015,ko04013,ko04010,ko04011,ko05164,ko05167,ko04926,map04611,ko04550,ko05169,map04933,ko04722,ko04723",M00689,2.7.11.24,"ko01000,ko01001,ko00001,ko00000,ko00002",32264.tetur02g00790.1,77.9,2.41e-114,336.0,,,,,"mitogen-activated protein kinase 14, partial [Nephila pilipes]",,"38BZX@33154,3B9J2@33208,3CRHP@33213,41UW5@6656,KOG0660@1,KOG0660@2759"
,GFT57671.1,L798_01651,,,,,,136037.KDR08118,46.5,2.73e-153,460.0,,,,,putative cell adhesion molecule [Nephila pilipes],,"2CS18@1,2R9ZJ@2759,39TPZ@33154,3BKT5@33208,3D1AD@33213,3SJCU@50557,41XJF@6656"
,GFT57681.1,,,,,,,7425.NV30465-PA,37.7,1.7500000000000001e-118,385.0,,,,,retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 [Nephila pilipes],,"39N4Q@33154,3BSEH@33208,3CWPW@33213,420YR@6656,KOG1075@1,KOG1075@2759"
,GFT57683.1,,,,,,,38654.XP_006038606.1,30.9,1.42e-06,58.9,,,,,"retrovirus-related Pol polyprotein from transposon opus, partial [Nephila pilipes]",,"38VW6@33154,3C641@33208,3DM5J@33213,48J5D@7711,49F4G@7742,COG2801@1,KOG0017@2759,KOG4297@1,KOG4297@2759"
,GFT57689.1,,,,,,,7070.TC001735-PA,47.6,1.5e-11,66.2,,,,,integrase catalytic domain-containing protein [Nephila pilipes],,"38F42@33154,3CNFK@33208,3E4K9@33213,COG2801@1,KOG0017@2759"
,GFT57691.1,,,,,,,7070.TC001735-PA,32.1,6.8e-17,89.7,,,,,transposon Ty3-G Gag-Pol polyprotein [Nephila pilipes],,"38F42@33154,3CNFK@33208,3E4K9@33213,COG2801@1,KOG0017@2759"
,GFT57694.1,T01_13806,,,,,,6334.EFV50150,33.8,7.12e-37,145.0,,,,,reverse transcriptase domain-containing protein [Nephila pilipes],,"39TC6@33154,3BHT2@33208,3D2MB@33213,COG2801@1,KOG0017@2759"
,GFT57705.1,,,,,,,7668.SPU_022988-tr,37.6,1e-23,105.0,,,,,"alpha-2-macroglobulin, partial [Nephila pilipes]",,"38DGN@33154,3BCF2@33208,3CTZZ@33213,COG2373@1,KOG1366@2759,KOG4475@1,KOG4475@2759"
,GFT57731.1,,,,,,,69319.XP_008552427.1,31.1,8.47e-21,96.7,,,,,"putative inorganic phosphate cotransporter, partial [Nephila pilipes]",,"38CXA@33154,3BBSD@33208,3CR7D@33213,3SINN@50557,41THY@6656,46G37@7399,KOG2532@1,KOG2532@2759"
,GFT57733.1,,,,,,,69319.XP_008552427.1,34.4,7.52e-34,134.0,,,,,putative sialin [Nephila pilipes],,"38CXA@33154,3BBSD@33208,3CR7D@33213,3SINN@50557,41THY@6656,46G37@7399,KOG2532@1,KOG2532@2759"
NPIL_300051,GFT57739.1,,,,,,,7029.ACYPI46248-PA,52.0,5.42e-36,137.0,0.0,0.0,0.0,0.0,uncharacterized protein NPIL_300051 [Nephila pilipes],,"38G2J@33154,3BU5U@33208,3DBXE@33213,422AQ@6656,COG0507@1,KOG0987@2759"
,GFT57750.1,,ko:K00485,"map01120,map00982,ko00982,ko01120",,1.14.13.8,"ko01000,ko00001,ko00000",32264.tetur03g01740.1,47.4,3.7e-143,429.0,,,,,dimethylaniline monooxygenase 2 [Nephila pilipes],,"38FDI@33154,3BC4Q@33208,3CT6M@33213,COG2072@1,KOG1399@2759"
"NPIL_525781,",GFT57770.1,,,,,,,7460.GB50223-PA,67.9,4.39e-13,68.9,,,,,"hypothetical protein NPIL_525781, partial [Nephila pilipes]",,"38E22@33154,3B9DY@33208,3CT6K@33213,3SH3M@50557,41UZP@6656,46G83@7399,COG2114@1,KOG1023@2759"
,GFT57773.1,ileS,ko:K01870,"ko00970,map00970","M00360,M00359",6.1.1.5,"ko03016,ko01000,ko01007,ko00001,ko00000,ko00002",163164.WD_0423,93.8,2.4799999999999996e-42,155.0,,,,,isoleucine--tRNA ligase [Nephila pilipes],"P|GO:0006082|IEA,P|GO:0006139|IEA,P|GO:0006399|IEA,P|GO:0006412|IEA,P|GO:0006418|IEA,P|GO:0006428|IEA,P|GO:0006450|IEA,P|GO:0006518|IEA,P|GO:0006520|IEA,P|GO:0006725|IEA,P|GO:0006807|IEA,P|GO:0008150|IEA,P|GO:0008152|IEA,P|GO:0009058|IEA,P|GO:0009059|IEA,P|GO:0009987|IEA,P|GO:0010467|IEA,P|GO:0016070|IEA,P|GO:0019538|IEA,P|GO:0019752|IEA,P|GO:0034641|IEA,P|GO:0034645|IEA,P|GO:0034660|IEA,P|GO:0043038|IEA,P|GO:0043039|IEA,P|GO:0043043|IEA,P|GO:0043170|IEA,P|GO:0043436|IEA,P|GO:0043603|IEA,P|GO:0043604|IEA,P|GO:0044237|IEA,P|GO:0044238|IEA,P|GO:0044249|IEA,P|GO:0044260|IEA,P|GO:0044267|IEA,P|GO:0044271|IEA,P|GO:0044281|IEA,P|GO:0046483|IEA,P|GO:0065007|IEA,P|GO:0065008|IEA,P|GO:0071704|IEA,P|GO:0090304|IEA,P|GO:0106074|IEA,P|GO:1901360|IEA,P|GO:1901564|IEA,P|GO:1901566|IEA,P|GO:1901576|IEA,C|GO:0005575|IEA,C|GO:0005622|IEA,C|GO:0005623|IEA,C|GO:0005737|IEA,C|GO:0044424|IEA,C|GO:0044464|IEA,F|GO:0000049|IEA,F|GO:0000166|IEA,F|GO:0002161|IEA,F|GO:0003674|IEA,F|GO:0003674|IEA,F|GO:0003674|IEA,F|GO:0003676|IEA,F|GO:0003723|IEA,F|GO:0003824|IEA,F|GO:0003824|IEA,F|GO:0004812|IEA,F|GO:0004822|IEA,F|GO:0005488|IEA,F|GO:0005488|IEA,F|GO:0005524|IEA,F|GO:0008144|IEA,F|GO:0016787|IEA,F|GO:0016788|IEA,F|GO:0016874|IEA,F|GO:0016875|IEA,F|GO:0017076|IEA,F|GO:0030554|IEA,F|GO:0032553|IEA,F|GO:0032555|IEA,F|GO:0032559|IEA,F|GO:0035639|IEA,F|GO:0036094|IEA,F|GO:0043167|IEA,F|GO:0043168|IEA,F|GO:0043169|IEA,F|GO:0046872|IEA,F|GO:0052689|IEA,F|GO:0097159|IEA,F|GO:0097159|IEA,F|GO:0097367|IEA,F|GO:0140098|IEA,F|GO:0140098|IEA,F|GO:0140101|IEA,F|GO:0140101|IEA,F|GO:1901265|IEA,F|GO:1901363|IEA,F|GO:1901363|IEA","1MVBQ@1224,2TR3N@28211,47EW6@766,COG0060@1,COG0060@2"
NPIL_235501,GFT57786.1,GK24104,,,,,,7260.FBpp0253247,34.3,2.79e-13,68.6,0.0,0.0,0.0,0.0,hypothetical protein NPIL_235501 [Nephila pilipes],,"2D3DP@1,2SR6N@2759"
,GFT57798.1,,,,,,,126957.SMAR011652-PA,46.2,1.99e-71,262.0,,,,,insulin receptor substrate 1 [Nephila pilipes],,"28N3R@1,2QUNU@2759,39T1R@33154,3BI0Z@33208,3DEX6@33213,41UCI@6656"
,GFT57800.1,,ko:K01373,"ko04210,map04210,map04142,ko04142",,3.4.22.41,"ko01002,ko01000,ko00001,ko00000",132113.XP_003492760.1,54.8,5.7400000000000005e-157,473.0,,,,,putative cysteine proteinase CG12163 [Nephila pilipes],,"38BEA@33154,3BF96@33208,3CUSF@33213,3SJBG@50557,41TQ5@6656,46HFA@7399,COG4870@1,KOG1542@2759"
,GFT57802.1,,,,,,,9668.ENSMPUP00000001306,59.4,2.09e-90,277.0,,,,,intersectin-1 [Nephila pilipes],,"39KUD@33154,3CNWW@33208,3E626@33213,3EXS3@33554,3JQBP@40674,48HE9@7711,49EGF@7742,COG5422@1,KOG4305@2759"
,GFT57805.1,,,,,,,7739.XP_002610207.1,46.6,2.82e-64,206.0,,,,,zinc finger FYVE domain-containing protein 21 [Nephila pilipes],,"28JC6@1,2QRR6@2759,39USJ@33154,3BDHD@33208,3CVR1@33213,488MX@7711"
NPIL_7141,GFT57807.1,,,,,,,34740.HMEL017865-PA,42.3,1.56e-25,103.0,1.19143274445759,0.0,0.0,0.0,hypothetical protein NPIL_7141 [Nephila pilipes],,"2D7SY@1,2T7C9@2759,391M1@33154,3C75M@33208,3DN5R@33213,3STV7@50557,424KG@6656,44A1U@7088"
,GFT57809.1,,,,,,,7091.BGIBMGA014395-TA,46.7,9.02e-33,129.0,,,,,transposase [Nephila pilipes],,"28P4Z@1,2QVRU@2759,38G0P@33154,3BGQ6@33208,3CZYD@33213,3SNFM@50557,4224W@6656,449CK@7088"
,GFT57813.1,,,,,,,126957.SMAR013025-PA,52.9,0.0,1490.0,,,,,ral GTPase-activating protein subunit beta [Nephila pilipes],,"38D4X@33154,3BI23@33208,3CTPA@33213,41UFS@6656,KOG3652@1,KOG3652@2759"
,GFT57815.1,,,,,,,126957.SMAR013025-PA,53.0,0.0,1497.0,,,,,ral GTPase-activating protein subunit beta [Nephila pilipes],,"38D4X@33154,3BI23@33208,3CTPA@33213,41UFS@6656,KOG3652@1,KOG3652@2759"
,GFT57818.1,,,,,,,126957.SMAR013025-PA,53.1,0.0,1493.0,,,,,ral GTPase-activating protein subunit beta [Nephila pilipes],,"38D4X@33154,3BI23@33208,3CTPA@33213,41UFS@6656,KOG3652@1,KOG3652@2759"
,GFT57820.1,,,,,,,7029.ACYPI061095-PA,31.3,3.16e-13,72.4,,,,,DUF1758 domain-containing protein [Nephila pilipes],,"39TC6@33154,3BHT2@33208,3D2MB@33213,41VKT@6656,COG2801@1,KOG0017@2759"
,GFT57822.1,,,,,,,7213.XP_004534049.1,42.0,1.92e-19,90.1,,,,,pro-Pol polyprotein [Nephila pilipes],,"39TC6@33154,3BHT2@33208,3D2MB@33213,3T0EP@50557,41VKT@6656,4556W@7147,COG2801@1,KOG0017@2759"
,GFT57824.1,107365628,,,,,,32264.tetur01g14560.1,66.1,9.25e-270,758.0,,,,,cleft lip and palate transmembrane protein 1 homolog [Nephila pilipes],,"38BC2@33154,3B9SD@33208,3CZJN@33213,41XRZ@6656,KOG2489@1,KOG2489@2759"
,GFT57830.1,,,,,,,126957.SMAR003301-PA,54.6,1.94e-56,183.0,,,,,"39S ribosomal protein L43, mitochondrial [Nephila pilipes]",,"3A1PQ@33154,3BQB6@33208,3D7D6@33213,41YRX@6656,KOG3445@1,KOG3445@2759"
NPIL_7241,GFT57832.1,,,,,,,126957.SMAR005880-PA,41.5,3.4500000000000005e-213,664.0,0.0615213674279834,0.197945147120706,0.341463965961588,0.246246025071614,hypothetical protein NPIL_7241 [Nephila pilipes],,"38C48@33154,3BEJG@33208,3D0DG@33213,41TTU@6656,COG1112@1,KOG1805@2759"
,GFT57834.1,,ko:K03238,"ko03013,map03013",,,"ko03012,ko01009,ko00001,ko00000",7739.XP_002604886.1,78.3,1.2399999999999999e-84,260.0,,,,,eukaryotic translation initiation factor 2 subunit 2 [Nephila pilipes],,"38MQN@33154,3BD1P@33208,3CUV4@33213,4842Z@7711,COG1601@1,KOG2768@2759"
,GFT57846.1,,,,,,,32264.tetur22g01570.1,65.5,3.41e-175,550.0,,,,,chitin-binding type-2 domain-containing protein [Nephila pilipes],,"28PCT@1,2QW08@2759,39SWT@33154,3BGJJ@33208,3CWWM@33213,41U2T@6656"
,GFT57849.1,,,,,,,126957.SMAR010626-PA,45.3,4.3e-241,719.0,,,,,phosphatidate phosphatase LPIN1 [Nephila pilipes],,"38BJ2@33154,3BD7H@33208,3CVIX@33213,41TZ5@6656,COG5083@1,KOG2116@2759"
,GFT57853.1,,,,,,,126957.SMAR007149-PA,59.0,0.0,1972.0,,,,,kinesin-like protein KIF13A [Nephila pilipes],,"3AHYF@33154,3BEFY@33208,3CT9N@33213,41V42@6656,COG5059@1,KOG0241@2759"
